Sex,Age,Married,Income,HoursWk,Race,USCitizen,HealthInsurance,Language
0,38,1,64,40,white,1,1,1
1,18,0,0,0,black,1,1,1
0,21,0,4,20,white,1,1,1
1,17,0,0,0,other,1,1,0
0,55,1,34,40,other,0,0,0
1,51,0,30,40,black,1,1,1
1,28,0,13.7,40,white,1,0,0
0,46,0,114,60,white,1,1,0
1,17,0,0,0,white,1,1,1
0,80,0,0,0,white,1,1,0
0,62,1,0,0,white,1,1,1
0,41,1,0,0,white,1,1,1
1,37,0,6.3,40,white,1,0,1
0,42,0,45.4,42,white,1,1,1
0,69,0,0,0,black,1,1,1
0,48,1,80,60,white,1,1,1
0,70,1,0,0,white,1,1,1
0,65,1,54,40,white,1,1,1
1,21,0,23,40,white,1,1,1
1,61,0,8.5,15,white,0,0,0
0,60,1,0,0,black,1,1,1
0,72,0,0,0,white,1,1,1
1,64,0,0,0,other,1,1,1
1,35,1,110,40,black,1,1,1
1,41,1,190,50,white,1,1,1
1,64,1,25,30,black,1,1,1
0,85,0,0,0,white,1,1,1
0,36,1,5.7,28,white,1,1,1
1,72,1,0,0,white,1,1,1
0,49,0,88,40,white,1,1,1
0,38,1,22,40,white,1,1,1
0,54,1,0,15,white,1,1,1
0,30,1,0.5,40,white,1,1,1
1,55,1,50,40,white,1,1,1
1,76,1,3,10,white,1,1,1
1,58,1,72,55,white,1,1,1
0,54,0,83,40,white,1,1,1
0,61,0,80,40,asian,1,1,0
0,59,0,0,0,white,1,1,1
1,21,0,12,30,other,0,0,0
1,21,0,8,30,white,0,1,0
1,48,0,12,20,white,1,1,1
0,19,0,0,0,white,1,1,0
1,16,0,0,0,white,1,1,1
1,47,1,70,40,white,1,1,1
1,53,0,0,0,white,1,1,1
1,46,1,19.2,40,white,0,1,0
0,55,1,12,40,white,1,0,1
1,30,0,24.4,40,white,1,0,1
1,53,0,0,40,white,1,1,1
1,25,0,17.5,35,white,1,1,1
1,69,1,0,0,white,1,1,1
1,31,1,43,48,white,1,1,1
0,44,1,70,40,white,1,1,0
0,82,1,0,0,white,1,1,1
1,27,0,47,40,white,1,1,1
0,76,1,0,0,white,1,1,1
1,53,0,0,0,white,1,1,1
0,38,1,33.3,38,white,1,1,0
1,72,1,1.4,15,white,1,1,1
0,76,0,0,0,white,1,1,1
1,67,0,25,30,asian,1,1,0
1,92,1,0,0,white,1,1,1
1,36,1,12,60,asian,1,1,0
0,21,0,5,25,white,1,1,0
0,84,0,1,4,white,1,1,1
1,25,0,22.2,40,white,1,1,1
1,44,0,38,40,other,1,1,0
0,53,1,60,40,black,1,0,1
1,36,1,58,40,white,1,1,1
0,78,1,6,34,white,1,1,1
1,84,0,0,0,white,1,1,1
0,63,1,0,0,white,1,1,1
0,56,1,0,0,white,1,1,0
1,59,1,150,40,white,1,1,1
0,68,1,43,40,white,1,1,1
0,26,1,2.5,15,white,1,1,1
0,58,1,35.4,40,white,1,1,1
1,73,1,23,49,white,1,1,1
1,22,0,36,53,black,1,1,1
0,61,1,42,40,white,1,1,1
1,65,1,70,45,white,1,1,1
0,88,0,0,0,white,1,1,1
1,43,1,14.4,40,other,0,1,0
0,89,0,0,0,white,1,1,1
0,55,0,24,25,white,1,1,1
0,73,0,0,0,white,1,1,1
0,66,1,0,0,white,1,1,1
0,42,1,0,0,black,1,1,1
1,33,1,30,43,white,1,1,1
1,27,0,35,60,white,1,0,0
0,35,0,30.2,38,white,1,1,0
1,19,0,0,0,asian,1,1,0
0,61,0,0,0,white,1,1,1
0,58,1,0,0,white,1,1,1
0,34,1,20,20,other,0,1,0
0,87,0,0,0,white,1,1,1
0,32,0,18,36,asian,0,1,0
0,31,0,12,50,other,1,1,1
1,36,0,0,0,white,1,1,1
0,68,0,0,0,white,1,1,1
1,70,1,0,0,white,1,1,1
0,76,0,0,0,white,1,1,1
1,60,1,150,60,black,1,1,1
0,24,1,11,40,white,1,1,1
1,66,1,0,0,white,1,1,1
1,59,1,36,30,white,1,1,1
1,47,0,79,40,white,1,1,1
0,50,1,26.6,40,white,1,0,1
1,35,0,5,40,white,1,1,1
1,56,1,0,0,white,1,1,1
1,73,1,0,0,white,1,1,1
0,41,0,0,50,white,1,1,1
1,44,1,115,40,white,1,1,1
1,60,1,30,45,white,1,1,1
1,48,1,55,40,white,1,1,1
0,35,1,45,36,white,1,1,1
0,51,1,0,15,white,1,0,1
0,39,0,10.2,22,white,1,1,1
0,59,1,0,0,white,1,1,1
1,38,0,25,40,white,1,0,1
1,91,0,0,0,asian,1,1,0
1,18,0,9,20,white,1,1,1
1,57,1,200,45,white,1,1,1
1,16,0,0,0,white,1,1,0
0,24,0,3.6,40,asian,1,1,0
0,47,1,88,45,white,0,1,0
1,21,0,20,8,white,1,1,1
1,59,0,40,50,white,1,1,1
1,53,1,125,50,white,1,1,1
0,45,1,26,40,white,1,1,1
1,49,1,0,70,white,1,1,1
1,55,1,90,50,white,1,1,1
1,34,1,120,45,asian,1,1,0
1,21,0,55,40,white,0,0,0
0,39,1,36,40,white,1,1,1
0,94,0,0,0,white,1,1,1
1,62,1,0,0,white,1,1,1
0,71,1,28,40,white,1,1,1
1,88,1,0,0,asian,1,1,0
1,27,1,35,40,white,1,1,1
0,46,0,16.8,40,other,1,0,0
1,18,0,3.5,15,white,1,1,1
1,49,1,65,40,white,1,1,1
1,80,1,0,0,white,1,1,1
0,61,0,0,0,white,1,1,1
0,17,0,0,0,white,1,1,1
0,60,0,60,52,black,1,1,1
0,34,1,0,0,asian,0,1,0
1,44,1,84,45,white,1,1,1
0,45,1,35.3,40,white,1,1,1
1,27,0,20,12,other,1,1,0
1,47,0,14.9,60,white,1,1,1
1,16,0,0,0,white,1,1,1
0,68,1,0,0,white,1,1,1
0,28,1,32,40,white,1,1,1
0,66,0,0,0,black,1,0,1
0,55,1,46,40,white,1,1,1
1,21,0,36,40,white,1,1,1
0,36,1,25,25,white,1,1,1
0,60,1,0,50,white,1,1,1
