Country,Code,LandArea,Population,Density,GDP,Rural,CO2,PumpPrice,Military,Health,ArmedForces,Internet,Cell,HIV,Hunger,Diabetes,BirthRate,DeathRate,ElderlyPop,LifeExpectancy,FemaleLabor,Unemployment,Energy,Electricity,Developed
Afghanistan,AFG,652.86,37.172,56.9,521,74.5,0.29,0.7,3.72,2.01,323,11.4,67.4,,30.3,9.6,32.5,6.6,2.6,64,50.3,1.5,,,
Albania,ALB,27.4,2.866,104.6,5254,39.7,1.98,1.36,4.08,9.51,9,71.8,123.7,0.1,5.5,10.1,11.7,7.5,13.6,78.5,55.9,13.9,808,2309,1
Algeria,DZA,2381.74,42.228,17.7,4279,27.4,3.74,0.28,13.81,10.73,317,47.7,111,0.1,4.7,6.7,22.3,4.8,6.4,76.3,16.4,12.1,1328,1363,1
American Samoa,ASM,0.2,0.055,277.3,,12.8,,,,,,,,,,,,,,,,,,,
Andorra,AND,0.47,0.077,163.8,42030,11.9,5.83,,,14.02,,98.9,104.4,,,8,,,,,,,,,
Angola,AGO,1246.7,30.81,24.7,3432,34.5,1.29,0.97,9.4,5.43,117,14.3,44.7,1.9,23.9,3.9,41.3,8.4,2.5,61.8,76.4,7.3,545,312,1
Antigua and Barbuda,ATG,0.44,0.096,218.8,16864,75.4,5.74,,,10.76,0,76,180.4,,,13.2,16.1,5.8,7.2,76.5,,,,,
Argentina,ARG,2736.69,44.495,16.3,11653,8.1,4.78,1.1,2.05,13.56,105,75.8,139.8,0.4,3.8,5.5,17,7.6,11.3,76.7,57.1,9.5,2030,3075,2
Armenia,ARM,28.47,2.952,103.7,4212,36.9,1.9,0.77,20.86,6.05,49,69.7,119,0.2,4.3,7.1,13.1,9.7,11.4,74.8,55.8,17.7,1016,1962,1
Aruba,ABW,0.18,0.106,588,,56.6,8.41,,,,,97.2,,,,11.6,11,8.9,13.6,76,,,,,
Australia,AUS,7692.02,24.992,3.2,57305,14,15.39,0.93,5.12,17.42,58,86.5,112.7,0.1,2.5,5.1,12.4,6.5,15.7,82.5,72.5,5.4,5335,10071,3
Austria,AUT,82.52299805,8.847,107.2,51513,41.7,6.87,1.2,1.52,14.93,21,87.9,170.8,0.1,2.5,6.4,10,9.5,19.4,81.6,71.8,4.8,3763,8356,3
Azerbaijan,AZE,82.67,9.942,120.3,4721,44.3,3.93,0.56,10.99,3.88,82,79,103,0.1,2.5,7.1,14.6,5.8,6.2,72.1,69.2,5.2,1502,2202,1
"Bahamas, The",BHS,10.01,0.386,38.5,,17,6.52,0.92,,15.98,1,85,89.4,1.9,,13.2,14.1,6.4,9.4,75.8,75.6,11.9,,,
Bahrain,BHR,0.778000031,1.569,2017.3,24051,10.7,23.46,0.43,10.93,8.41,19,95.9,158.4,0.1,,16.5,14.4,2.4,2.4,77,46.1,1,10597,19597,3
