Team,League,Wins,Runs,Hits,Doubles,Triples,HomeRuns,RBI,StolenBases,CaughtStealing,Walks,Strikeouts,BattingAvg
ARI,NL,85,813,1419,288,40,220,778,88,14,540,1360,0.252
ATL,NL,97,855,1432,277,29,249,824,89,28,619,1467,0.258
BAL,AL,54,729,1379,252,25,213,698,84,30,462,1435,0.246
BOS,AL,84,901,1554,345,27,245,857,68,30,590,1382,0.269
CHC,NL,84,814,1378,270,26,256,783,45,24,581,1460,0.252
CHW,AL,72,708,1443,260,20,182,676,63,28,378,1549,0.261
CIN,NL,75,701,1328,235,27,227,679,80,38,492,1436,0.244
CLE,AL,93,769,1354,286,18,223,731,103,35,563,1332,0.25
COL,NL,71,835,1502,323,41,224,803,71,31,489,1503,0.265
DET,AL,47,582,1333,292,41,149,556,57,20,391,1595,0.24
HOU,AL,107,920,1538,323,28,288,891,67,27,645,1166,0.274
KCR,AL,59,691,1356,281,40,162,655,117,39,456,1405,0.247
LAA,AL,72,769,1368,268,21,220,734,65,20,586,1276,0.247
LAD,NL,106,886,1414,302,20,279,861,57,10,607,1356,0.257
MIA,NL,57,615,1326,265,18,146,593,55,30,395,1469,0.241
MIL,NL,89,769,1366,279,17,250,744,101,25,629,1563,0.246
MIN,AL,101,939,1547,318,23,307,906,28,21,525,1334,0.27
NYM,NL,86,791,1445,280,17,242,767,56,27,516,1384,0.257
NYY,AL,103,943,1493,290,17,306,904,55,22,569,1437,0.267
OAK,AL,97,845,1384,292,23,257,800,49,21,578,1338,0.249
PHI,NL,81,774,1369,311,26,215,742,78,18,562,1453,0.246
PIT,NL,69,758,1497,315,38,163,722,64,29,425,1213,0.265
SDP,NL,70,682,1281,224,24,219,652,70,37,504,1581,0.238
SEA,AL,68,758,1305,254,28,239,730,115,47,588,1581,0.237
SFG,NL,77,678,1332,300,26,167,655,47,28,475,1435,0.239
STL,NL,91,764,1337,246,24,210,714,116,29,561,1420,0.245
TBR,AL,96,769,1427,291,29,217,730,94,37,542,1493,0.254
TEX,AL,78,810,1374,296,24,223,765,131,38,534,1578,0.248
TOR,AL,67,726,1299,270,21,247,697,51,20,509,1514,0.236
WSN,NL,93,873,1460,298,27,231,824,116,29,584,1308,0.265
