Name,Salary,Team,POS
Max Scherzer,42.143,WSH ,SP
Stephen Strasburg,36.429,WSH ,SP
Mike Trout,34.083,LAA ,CF
Zack Greinke,32.422,ARI ,SP
David Price,31.000,BOS ,SP
Clayton Kershaw,31.000,LAD ,SP
Miguel Cabrera,30.000,DET ,DH
Yoenis Cespedes,29.000,NYM ,OF
Justin Verlander,28.000,HOU ,SP
Albert Pujols,28.000,LAA ,DH
Felix Hernandez,27.857,SEA ,SP
Jon Lester,27.500,CHC ,SP
Nolan Arenado,26.000,COL ,3B
Giancarlo Stanton,26.000,NYY ,RF
Jake Arrieta,25.000,PHI ,SP
Joey Votto,25.000,CIN ,1B
Jordan Zimmermann,25.000,DET ,SP
Robinson Cano,24.000,NYM ,2B
J.D. Martinez,23.750,BOS ,OF
Edwin Encarnacion,23.333,SEA ,1B
Josh Donaldson,23.000,ATL ,3B
Johnny Cueto,22.667,SF ,SP
Buster Posey,22.511,SF ,C
Masahiro Tanaka,22.000,NYY ,SP
Jacoby Ellsbury,21.857,NYY ,OF
Eric Hosmer,21.625,SD ,1B
Charlie Blackmon,21.517,COL ,CF
Matt Kemp,21.500,CIN ,OF
Freddie Freeman,21.359,ATL ,1B
Rick Porcello,21.125,BOS ,SP
Chris Davis,21.117,BAL ,1B
Alex Gordon,21.000,KC ,LF
Shin-Soo Choo,21.000,TEX ,DH
Carlos Santana,20.500,CLE ,1B
Yu Darvish,20.000,CHC ,SP
Cole Hamels,20.000,CHC ,SP
Mookie Betts,20.000,BOS ,RF
Russell Martin,20.000,LAD ,C
Yadier Molina,20.000,STL ,C
Jason Heyward,20.000,CHC ,RF
Jeff Samardzija,19.800,SF ,SP
Wei-Yin Chen,19.774,MIA ,RP
Justin Upton,19.700,LAA ,LF
Kyle Seager,19.500,SEA ,3B
Justin Turner,19.000,LAD ,3B
Mark Melancon,19.000,SF ,RP
Kenley Jansen,18.800,LAD ,RP
Anthony Rendon,18.800,WSH ,3B
Rich Hill,18.667,LAD ,SP
Pablo Sandoval,18.600,SF ,3B
Ryan Zimmerman,18.333,WSH ,1B
Wade Davis,18.333,COL ,RP
Yasmani Grandal,18.250,MIL ,C
Ryan Braun,18.158,MIL ,LF
Hyun-Jin Ryu,17.900,LAD ,SP
Brandon Belt,17.200,SF ,1B
Aroldis Chapman,17.200,NYY ,RP
Corey Kluber,17.200,CLE ,SP
Mike Leake,17.000,SEA ,SP
Nathan Eovaldi,17.000,BOS ,SP
J.A. Happ,17.000,NYY ,SP
Ian Kennedy,16.500,KC ,SP
Khris Davis,16.500,OAK ,DH
Dexter Fowler,16.500,STL ,RF
Michael Brantley,16.000,HOU ,LF
Jose Abreu,16.000,CWS ,1B
Evan Longoria,15.500,SF ,3B
Ian Desmond,15.400,COL ,CF
Matt Carpenter,15.333,STL ,3B
Elvis Andrus,15.250,TEX ,SS
Danny Duffy,15.250,KC ,SP
Brandon Crawford,15.200,SF ,SS
Jean Segura,15.050,PHI ,SS
Martin Prado,15.000,MIA ,3B
Paul Goldschmidt,15.000,STL ,1B
Charlie Morton,15.000,TB ,SP
Chris Sale,15.000,BOS ,SP
Lorenzo Cain,15.000,MIL ,CF
Jason Kipnis,14.667,CLE ,2B
Dustin Pedroia,14.522,BOS ,2B
Nelson Cruz,14.300,MIN ,DH
Jay Bruce,14.000,SEA ,RF
Alex Cobb,14.000,BAL ,SP
Gerrit Cole,13.500,HOU ,SP
Dee Gordon,13.500,SEA ,2B
Mark Trumbo,13.274,BAL ,DH
Jedd Gyorko,13.167,STL ,3B
Andrelton Simmons,13.000,LAA ,SS
Zack Britton,13.000,NYY ,RP
Trevor Bauer,13.000,CLE ,SP
Josh Reddick,13.000,HOU ,RF
Daniel Murphy,13.000,COL ,1B
Patrick Corbin,12.917,WSH ,SP
Kris Bryant,12.900,CHC ,3B
Zack Cozart,12.667,LAA ,3B
Ben Zobrist,12.500,CHC ,2B
Tyler Chatwood,12.500,CHC ,RP
Anthony Rizzo,12.286,CHC ,1B
Marcell Ozuna,12.250,STL ,LF
Andrew Miller,12.250,STL ,RP
Starlin Castro,12.000,MIA ,2B
Madison Bumgarner,12.000,SF ,SP
Xander Bogaerts,12.000,BOS ,SS
DJ LeMahieu,12.000,NYY ,2B
Manny Machado,12.000,SD ,3B
Marwin Gonzalez,12.000,MIN ,3B
George Springer,12.000,HOU ,CF
Kendrys Morales,12.000,OAK ,DH
Carlos Martinez,11.800,STL ,SP
Didi Gregorius,11.750,NYY ,SS
Bryce Harper,11.538,PHI ,RF
Francisco Cervelli,11.500,PIT ,C
Salvador Perez,11.200,KC ,C
Julio Teheran,11.167,ATL ,SP
Matt Harvey,11.000,LAA ,SP
David Robertson,11.000,PHI ,RP
Andrew McCutchen,11.000,PHI ,LF
Kole Calhoun,10.833,LAA ,RF
Starling Marte,10.667,PIT ,CF
Francisco Lindor,10.550,CLE ,SS
Jose Quintana,10.500,CHC ,SP
Carlos Carrasco,10.500,CLE ,SP
Brandon Morrow,10.500,CHC ,RP
Yulieski Gurriel,10.000,HOU ,1B
Tanner Roark,10.000,CIN ,SP
Mike Moustakas,10.000,MIL ,2B
Nick Castellanos,9.950,DET ,RF
Christian Yelich,9.929,MIL ,RF
Mike Minor,9.833,TEX ,SP
Scooter Gennett,9.775,CIN ,2B
Yasiel Puig,9.700,CIN ,RF
Alex Wood,9.650,CIN ,SP
Jose Altuve,9.500,HOU ,2B
Andrew Cashner,9.500,BAL ,SP
Jake Odorizzi,9.500,MIN ,SP
Yusei Kikuchi,9.500,SEA ,SP
Kevin Gausman,9.350,ATL ,SP
Lance Lynn,9.333,TEX ,SP
Juan Nicasio,9.250,PHI ,RP
Ivan Nova,9.167,CWS ,SP
Bryan Shaw,9.167,COL ,RP
Jake McGee,9.167,COL ,RP
Juan Lagares,9.100,NYM ,CF
Jason Vargas,9.000,NYM ,SP
Kelvin Herrera,9.000,CWS ,RP
Trevor Cahill,9.000,LAA ,SP
Adam Ottavino,9.000,NYY ,RP
Brian Dozier,9.000,WSH ,2B
Anibal Sanchez,9.000,WSH ,SP
Todd Frazier,9.000,NYM ,3B
Jacob deGrom,9.000,NYM ,SP
Tommy Hunter,9.000,PHI ,RP
Darren O'''Day,8.855,ATL ,RP
Adam Eaton,8.700,WSH ,RF
Kevin Kiermaier,8.583,TB ,CF
James Paxton,8.575,NYY ,SP
Jackie Bradley Jr.,8.550,BOS ,CF
Yonder Alonso,8.500,CWS ,DH
Corey Dickerson,8.500,PIT ,LF
Cody Allen,8.500,LAA ,RP
Anthony Swarzak,8.500,SEA ,RP
Jed Lowrie,8.500,NYM ,2B
Addison Reed,8.500,MIN ,RP
Rougned Odor,8.333,TEX ,2B
Pat Neshek,8.125,PHI ,RP
Kyle Gibson,8.125,MIN ,SP
Miles Mikolas,8.000,STL ,SP
Jason Castro,8.000,MIN ,C
Michael Pineda,8.000,MIN ,SP
Wilson Ramos,8.000,NYM ,C
Justin Smoak,8.000,TOR ,1B
CC Sabathia,8.000,NYY ,SP
Joe Smith,8.000,HOU ,RP
Chris Archer,7.758,PIT ,SP
Cesar Hernandez,7.750,PHI ,2B
Brett Cecil,7.750,STL ,RP
Welington Castillo,7.500,CWS ,C
Steve Cishek,7.500,CHC ,RP
Sonny Gray,7.500,CIN ,SP
Jonathan Schoop,7.500,MIN ,2B
Brett Gardner,7.500,NYY ,LF
Stephen Piscotty,7.500,OAK ,RF
Brad Hand,7.417,CLE ,RP
Kyle Hendricks,7.405,CHC ,SP
Marcus Stroman,7.400,TOR ,SP
Mike Dunn,7.333,COL ,RP
Alex Colome,7.325,CWS ,RP
Eugenio Suarez,7.286,CIN ,3B
Yan Gomes,7.250,WSH ,C
Dellin Betances,7.250,NYY ,RP
David Peralta,7.000,ARI ,LF
Derek Holland,7.000,SF ,SP
Drew Smyly,7.000,TEX ,SP
Trevor Rosenthal,7.000,WSH ,RP
Garrett Richards,7.000,SD ,SP
Chase Anderson,6.750,MIL ,SP
Jhoulys Chacin,6.750,MIL ,SP
Kolten Wong,6.700,STL ,2B
Gregory Polanco,6.700,PIT ,OF
Jeurys Familia,6.667,NYM ,RP
Mitch Moreland,6.500,BOS ,1B
Roberto Osuna,6.500,HOU ,RP
Joakim Soria,6.500,OAK ,RP
Tony Watson,6.500,SF ,RP
Sean Doolittle,6.500,WSH ,RP
Aaron Hicks,6.429,NYY ,CF
Blake Treinen,6.400,OAK ,RP
Michael Wacha,6.350,STL ,SP
Eric Thames,6.333,MIL ,1B
Ken Giles,6.300,TOR ,RP
Pedro Strop,6.250,CHC ,RP
Steve Pearce,6.250,BOS ,1B
Max Kepler,6.200,MIN ,RF
Eduardo Escobar,6.167,ARI ,3B
Robbie Ray,6.050,ARI ,SP
Yusmeiro Petit,6.000,OAK ,RP
Tyler Flowers,6.000,ATL ,C
Nick Markakis,6.000,ATL ,RF
Raisel Iglesias,6.000,CIN ,RP
Noah Syndergaard,6.000,NYM ,SP
Mike Fiers,6.000,OAK ,SP
Zack Wheeler,5.975,NYM ,SP
Marcus Semien,5.900,OAK ,SS
J.T. Realmuto,5.900,PHI ,C
Kevin Pillar,5.800,TOR ,CF
Collin McHugh,5.800,HOU ,SP
Robinson Chirinos,5.750,HOU ,C
Tyson Ross,5.750,DET ,SP
Ender Inciarte,5.700,ATL ,CF
Wil Myers,5.667,SD ,LF
Aaron Nola,5.563,PHI ,SP
Odubel Herrera,5.550,PHI ,CF
Luke Gregerson,5.500,STL ,RP
Mike Foltynewicz,5.475,ATL ,SP
Jordy Mercer,5.250,DET ,SS
Billy Hamilton,5.250,KC ,CF
A.J. Pollock,5.250,LAD ,CF
Fernando Rodney,5.250,OAK ,RP
Maikel Franco,5.200,PHI ,3B
Javier Baez,5.200,CHC ,SS
Luis Severino,5.188,NYY ,SP
Corey Knebel,5.125,MIL ,RP
Taijuan Walker,5.025,ARI ,SP
Eduardo Nunez,5.000,BOS ,3B
Brandon Kintzler,5.000,CHC ,RP
Randal Grichuk,5.000,TOR ,RF
Trevor Story,5.000,COL ,SS
Justin Wilson,5.000,NYM ,RP
Sam Dyson,5.000,SF ,RP
Freddy Galvis,5.000,TOR ,SS
Carlos Correa,5.000,HOU ,SS
Joc Pederson,5.000,LAD ,LF
Jonathan Villar,4.825,BAL ,2B
Jake Lamb,4.825,ARI ,1B
Arodys Vizcaino,4.800,ATL ,RP
C.J. Cron,4.800,MIN ,1B
Felipe Vazquez,4.750,PIT ,RP
Travis Shaw,4.675,MIL ,3B
Joe Kelly,4.667,LAD ,RP
Jorge Soler,4.667,KC ,RF
Nate Jones,4.650,CWS ,RP
Yolmer Sanchez,4.625,CWS ,2B
Chris Iannetta,4.525,COL ,C
Hector Rondon,4.500,HOU ,RP
David Freese,4.500,LAD ,3B
Wade Miley,4.500,HOU ,SP
Danny Salazar,4.500,CLE ,SP
Mike Zunino,4.413,TB ,C
Eduardo Rodriguez,4.300,BOS ,SP
Alex Avila,4.250,ARI ,C
Wilmer Flores,4.250,ARI ,2B
Will Smith,4.225,SF ,RP
Will Harris,4.225,HOU ,RP
Carlos Rodon,4.200,CWS ,SP
Eddie Rosario,4.190,MIN ,LF
Jorge Polanco,4.158,MIN ,SS
Jose Ramirez,4.150,CLE ,3B
Steven Souza Jr.,4.125,ARI ,RF
Lance McCullers Jr.,4.100,HOU ,SP
Tommy Pham,4.100,TB ,LF
Michael Conforto,4.025,NYM ,RF
Shane Greene,4.000,DET ,RP
Corey Seager,4.000,LAD ,SS
Marco Estrada,4.000,OAK ,SP
Ian Kinsler,4.000,SD ,2B
Jesse Chavez,4.000,TEX ,RP
Matt Adams,4.000,WSH ,1B
Kurt Suzuki,4.000,WSH ,C
Howie Kendrick,4.000,WSH ,OF
Martin Perez,4.000,MIN ,RP
Jon Jay,4.000,CWS ,RF
Aaron Sanchez,3.900,TOR ,SP
Joe Panik,3.850,SF ,2B
Jarrod Dyson,3.750,ARI ,OF
Trea Turner,3.725,WSH ,SS
Kike Hernandez,3.725,LAD ,2B
Tyler Skaggs,3.700,LAA ,SP
Jimmy Nelson,3.700,MIL ,SP
Nick Ahmed,3.663,ARI ,SS
Jurickson Profar,3.600,OAK ,2B
Brock Holt,3.575,BOS ,2B
Travis d'Arnaud,3.515,NYM ,C
Asdrubal Cabrera,3.500,TEX ,3B
Matt Shoemaker,3.500,TOR ,SP
Avisail Garcia,3.500,TB ,RF
Chris Taylor,3.500,LAD ,2B
Andrew Heaney,3.400,LAA ,SP
Addison Russell,3.400,CHC ,SS
Kyle Schwarber,3.390,CHC ,LF
Jonathan Lucroy,3.350,LAA ,C
Chad Bettis,3.325,COL ,SP
Nomar Mazara,3.300,TEX ,RF
Clayton Richard,3.300,TOR ,SP
Yoshihisa Hirano,3.250,ARI ,RP
Greg Holland,3.250,ARI ,RP
Wily Peralta,3.250,KC ,RP
Jeff Mathis,3.250,TEX ,C
Michael A. Taylor,3.250,WSH ,CF
Jose Urena,3.200,MIA ,SP
Keone Kela,3.175,PIT ,RP
Jeremy Jeffress,3.175,MIL ,RP
Miguel Rojas,3.155,MIA ,SS
Sean Manaea,3.150,OAK ,SP
Kenta Maeda,3.125,LAD ,SP
Brad Peacock,3.110,HOU ,SP
Kirby Yates,3.063,SD ,RP
Leonys Martin,3.000,CLE ,CF
Chris Owings,3.000,KC ,SS
Jung-ho Kang,3.000,PIT ,3B
Brad Brach,3.000,CHC ,RP
Adam Jones,3.000,ARI ,OF
Clay Buchholz,3.000,TOR ,SP
Tucker Barnhart,2.938,CIN ,C
Christian Vazquez,2.933,BOS ,C
Jon Gray,2.925,COL ,SP
Ryan Pressly,2.900,HOU ,RP
Dylan Bundy,2.800,BAL ,SP
Michael Fulmer,2.800,DET ,SP
Jose Peraza,2.775,CIN ,2B
