Make,Model,Type,LowPrice,HighPrice,CityMPG,HwyMPG,Seating,Drive,Acc030,Acc060,QtrMile,Braking,FuelCap,Length,Width,Height,Wheelbase,UTurn,Weight,Size
Acura,MDX,SUV,44.400,60.150,14,31,7,AWD,2.8,6.8,15.3,135,19.5,196,77,67,111,40,4200,Midsized
Acura,RLX,Sedan,54.900,61.000,15,36,5,AWD,2.7,6.5,15.0,128,18.5,198,74,58,112,40,3930,Midsized
Audi,A3,Sedan,33.300,43.000,18,40,5,AWD,3.2,8.3,16.4,124,13.2,175,70,56,104,37,3135,Small
Audi,A4,Sporty,37.400,45.700,18,40,5,AWD,2.7,6.3,14.9,135,15.3,186,73,56,111,40,3630,Small
Audi,A6,Sedan,54.900,73.900,17,39,5,AWD,2.8,6.8,15.3,129,19.3,195,74,57,115,38,4015,Midsized
Audi,A8,Wagon,83.800,83.800,20,27,5,AWD,2.4,6.1,14.5,133,21.7,209,77,59,123,43,4810,Large
Audi,Q3,SUV,34.700,36.000,15,33,5,AWD,3.2,7.8,16.1,126,15.9,177,73,63,106,40,3880,Small
Audi,TT,Sporty,45.500,54.500,18,35,4,AWD,2.5,6.7,14.8,113,14.5,165,72,53,99,36,3140,Small
BMW,3 Series,Sedan,40.750,56.000,19,44,5,AWD,2.6,6.4,14.8,129,15.6,186,72,57,112,41,3640,Small
BMW,5 series,Sedan,53.900,110.000,16,40,5,AWD,2.9,7.2,15.5,130,17.9,195,74,58,117,42,3950,Midsized
BMW,7 Series,Sedan,86.450,151.700,14,33,5,AWD,2.4,5.3,13.6,131,20.6,207,75,58,126,43,4710,Large
BMW,X1,SUV,35.200,37.300,17,37,5,AWD,3.5,7.9,16.3,134,16.1,175,72,63,105,39,3725,Small
BMW,Z4,Sporty,49.700,63.700,20,40,2,RWD,2.7,6.1,14.6,111,13.7,171,73,51,97,37,3290,Small
Buick,Enclave,SUV,40.000,56.100,12,26,7,AWD,3.1,7.4,15.8,130,21.7,204,79,70,121,41,4690,Large
Buick,Envision,SUV,31.995,43.600,14,31,5,AWD,2.9,7.9,16.1,128,17.3,184,72,67,108,38,4050,Small
Buick,Regal,Sedan,25.370,39.070,15,34,5,AWD,2.9,7.0,15.3,125,16.5,193,73,57,111,39,2680,Midsized
Buick ,Encore,SUV,23.300,30.800,16,32,5,AWD,3.8,11.0,18.3,127,14.0,168,70,65,101,38,3355,Small
Cadillac,Escalade,SUV,75.195,98.295,10,23,8,AWD,2.2,6.1,14.5,142,26.0,204,81,74,116,41,5820,Large
Cadillac,XT4,SUV,35.695,42.295,16,31,5,AWD,3.0,7.6,15.9,128,16.3,181,77,63,109,39,3939,Small
Cadillac,XT5,SUV,44.095,55.095,13,30,5,AWD,2.7,7.1,15.6,132,22.0,190,76,66,113,42,3500,Midsized
Cadillac,XT6,Sporty,52.695,57.095,12,26,7,AWD,3.0,7.1,15.6,134,21.7,199,77,69,113,41,4585,Midsized
Chevrolet,Camaro,Sporty,25.000,68.000,13,28,4,RWD,2.0,4.4,12.7,112,17.9,188,75,53,111,40,3730,Midsized
Chevrolet,Corvette,Sporty,55.900,125.400,14,28,2,RWD,2.0,4.3,12.6,107,18.0,177,74,49,107,38,3470,Small
Chevrolet,Impala,Sedan,31.620,36.720,14,34,5,FWD,2.9,6.9,15.5,130,18.5,201,73,59,112,40,3855,Large
Chevrolet,Malibu,Sedan,22.095,33.320,19,41,5,FWD,3.1,8.4,16.6,130,13.0,194,73,58,112,38,3125,Midsized
Chevrolet,Spark,Hatchback,13.220,17.720,23,44,4,FWD,4.5,12.0,19.0,128,9.0,143,63,58,94,35,2280,Small
Chevrolet,Suburban,SUV,49.700,68.500,10,23,9,AWD,2.9,7.9,16.2,139,26.0,224,81,74,130,45,5945,Large
Chevrolet,Tahoe,SUV,46.800,65.700,10,23,9,AWD,2.8,7.7,15.9,136,26.0,204,81,74,116,41,5635,Large
Chevrolet,Traverse,SUV,29.600,53.200,14,28,8,AWD,3.0,7.3,15.7,130,21.7,204,79,71,121,40,4695,Large
Chevrolet ,Blazer,SUV,28.800,45.600,13,27,5,AWD,2.7,6.4,15.0,130,21.7,191,77,67,113,40,4235,Midsized
Chrysler,300,Sedan,29.590,41.995,15,32,5,AWD,3.2,7.4,15.8,137,18.5,199,75,58,120,40,4095,Large
Chrysler,Pacifica,Minivan,33.745,45.845,13,33,7,FWD,3.1,8.0,16.2,136,19.0,204,80,70,122,41,4535,Midsized
Dodge,Durango,SUV,30.495,62.995,12,25,7,AWD,3.1,8.3,16.4,134,25.0,200,76,71,120,41,5105,Large
Dodge,Journey,SUV,23.495,28.595,11,25,7,AWD,3.2,8.1,16.4,139,21.0,192,72,68,114,41,4410,Midsized
Dodge ,Challenger,Sporty,27.995,58.995,14,27,5,AWD,2.3,5.5,13.9,119,18.5,198,76,57,116,40,4190,Large
Dodge ,Charger,Sedan,29.895,69.645,13,31,5,AWD,2.5,6.1,14.5,128,18.5,201,75,58,120,39,4335,Large
Dodge ,Grand Caravan,Minivan,27.295,35.535,11,27,7,FWD,3.3,8.1,16.5,141,20.0,203,79,68,121,42,4685,Large
Fiat,500L,Hatchback,22.500,24.645,18,37,5,FWD,3.9,9.5,17.4,132,13.1,167,70,66,103,37,3330,Small
Ford,Escape,SUV,24.885,38.835,17,37,5,AWD,3.3,8.9,16.9,128,15.7,181,74,69,107,39,3530,Small
Ford,Expedition,SUV,48.990,80.110,11,23,8,AWD,2.7,7.3,15.7,143,28.3,222,82,76,132,45,6035,Large
