Year,Month,Moscow,Melbourne,San Francisco
2017,1,-7.8,21.1,10.3
2017,2,-4.6,19.8,12.5
2017,3,2.4,21.1,13.9
2017,4,5.3,15.8,14.7
2017,5,10.9,12.1,16.1
2017,6,14.4,9.4,17.3
2017,7,17.9,9.4,17.9
2017,8,18.8,9.8,18.9
2017,9,13,12.4,21
2017,10,5,15.2,17.9
2017,11,0,19.7,14.5
2017,12,0,19.5,11.1
2018,1,-4.3,21.9,12
2018,2,-9.1,21.2,12.7
2018,3,-5.1,19.3,12.9
2018,4,7.8,16.6,14.6
2018,5,16.2,13.1,15.9
2018,6,17.3,9.4,18.2
2018,7,20.5,9.7,18.5
2018,8,19.8,9.9,17.1
2018,9,14.6,11.6,16
2018,10,7.3,15.4,17
2018,11,-0.6,16.6,13.8
2018,12,-5.6,20.2,11.4
