Airline,Difference
Delta,-12
Delta,-16
Delta,14
Delta,-7
Delta,-24
Delta,-7
Delta,25
Delta,-25
Delta,-14
Delta,-4
Delta,-28
Delta,-32
Delta,-24
Delta,21
Delta,-11
Delta,-12
Delta,-6
Delta,-17
Delta,-28
Delta,1
Delta,-20
Delta,-18
Delta,-2
Delta,-6
Delta,1
Delta,-23
Delta,-19
Delta,-25
Delta,-49
Delta,-7
Delta,-27
Delta,2
Delta,-8
Delta,-8
Delta,-9
Delta,-19
Delta,-33
Delta,-5
Delta,-15
Delta,4
Delta,85
Delta,-26
Delta,-30
Delta,-10
Delta,-1
Delta,-9
Delta,-8
Delta,85
Delta,-22
Delta,100
Delta,56
Delta,-5
Delta,27
Delta,-8
Delta,-20
Delta,-27
Delta,6
Delta,-16
Delta,-5
Delta,60
Delta,-15
Delta,11
Delta,-21
Delta,-8
Delta,-15
Delta,-16
Delta,-9
Delta,-59
Delta,-18
Delta,25
Delta,-17
Delta,-7
Delta,-25
Delta,0
Delta,-10
Delta,24
Delta,-26
Delta,-17
Delta,-27
Delta,-15
Delta,-13
Delta,26
Delta,-10
Delta,-17
Delta,-12
Delta,-15
Delta,-16
Delta,-27
Delta,-14
Delta,-16
Delta,-18
Delta,-30
Delta,-12
Delta,-25
Delta,-4
Delta,2
Delta,-2
Delta,0
Delta,-4
Delta,-2
Delta,-1
Delta,-15
Delta,3
Delta,37
Delta,-18
Delta,-21
Delta,-4
Delta,-18
Delta,-4
Delta,-22
Delta,-13
Delta,-45
Delta,123
Delta,-14
Delta,-1
Delta,-33
Delta,-2
Delta,-34
Delta,-46
Delta,-4
Delta,-6
Delta,-44
Delta,-26
Delta,56
Delta,-42
Delta,-2
Delta,51
Delta,-8
Delta,-9
Delta,14
Delta,-23
Delta,-24
Delta,-34
Delta,14
Delta,-3
Delta,-12
Delta,-17
Delta,-33
Delta,-13
Delta,4
Delta,-23
Delta,-4
Delta,-6
Delta,-35
Delta,-17
Delta,-10
Delta,-5
Delta,-24
Delta,-34
Delta,5
Delta,-24
Delta,-8
Delta,-16
Delta,3
Delta,46
Delta,0
Delta,-29
Delta,-2
Delta,-29
Delta,-21
Delta,11
Delta,-49
Delta,-28
Delta,-23
Delta,44
Delta,-22
Delta,-10
Delta,0
Delta,-14
Delta,0
Delta,-22
Delta,-45
Delta,-21
Delta,25
Delta,-6
Delta,28
Delta,7
Delta,7
Delta,-14
Delta,-18
Delta,-29
Delta,-27
Delta,-1
Delta,-17
Delta,7
Delta,-8
Delta,-15
Delta,-10
Delta,-29
Delta,-8
Delta,-12
Delta,-32
Delta,-20
Delta,-34
Delta,-22
Delta,-6
Delta,-10
Delta,39
Delta,16
Delta,-7
Delta,36
Delta,-22
Delta,59
Delta,-14
Delta,14
Delta,-40
Delta,0
Delta,-15
Delta,-11
Delta,-7
Delta,-17
Delta,-20
Delta,10
Delta,-15
Delta,-10
Delta,-24
Delta,-14
Delta,-14
Delta,-14
Delta,-24
Delta,-15
Delta,-14
Delta,-9
Delta,-10
Delta,-1
Delta,-32
Delta,-30
Delta,-29
Delta,-9
Delta,-4
Delta,157
Delta,2
Delta,27
Delta,38
Delta,-13
Delta,-17
Delta,101
Delta,-33
Delta,-12
Delta,-13
Delta,-12
Delta,-26
Delta,-30
Delta,-17
Delta,-12
Delta,0
Delta,-9
Delta,-8
Delta,-16
Delta,-19
Delta,-6
Delta,-11
Delta,-6
Delta,-5
Delta,-14
Delta,-33
Delta,-19
Delta,-11
Delta,-3
Delta,452
Delta,-12
Delta,29
Delta,9
Delta,-6
Delta,-13
Delta,3
Delta,-10
Delta,7
Delta,-1
Delta,-22
Delta,-10
Delta,-18
Delta,-20
Delta,-12
Delta,-13
Delta,-15
Delta,22
Delta,-6
Delta,-17
Delta,4
Delta,-8
Delta,-15
Delta,-22
Delta,-9
Delta,-17
Delta,-21
Delta,-20
Delta,-12
Delta,-17
Delta,-5
Delta,4
Delta,-13
Delta,-33
Delta,-8
Delta,-12
Delta,2
Delta,-8
Delta,-10
Delta,-11
Delta,5
Delta,-7
Delta,-6
Delta,-9
Delta,-24
Delta,-6
Delta,7
Delta,-12
Delta,-16
Delta,17
Delta,-6
Delta,-14
Delta,-16
Delta,-10
Delta,-2
Delta,-11
Delta,-11
Delta,-16
Delta,-14
Delta,6
Delta,-16
Delta,-15
Delta,-13
Delta,-4
Delta,-25
Delta,-19
Delta,-40
Delta,-21
Delta,-16
Delta,1
Delta,-17
Delta,11
Delta,3
Delta,-12
Delta,-15
Delta,-15
Delta,50
Delta,-14
Delta,-15
Delta,-12
Delta,-14
Delta,-16
Delta,-17
Delta,4
Delta,36
Delta,37
Delta,0
Delta,28
Delta,-7
Delta,2
Delta,-3
Delta,-15
Delta,-15
Delta,-13
Delta,-9
Delta,11
Delta,-17
Delta,-14
Delta,-30
Delta,-18
Delta,-16
Delta,-33
Delta,20
Delta,-25
Delta,-28
Delta,-16
Delta,-9
Delta,-15
Delta,-1
Delta,103
Delta,-21
Delta,13
Delta,1
Delta,27
Delta,-11
Delta,-15
Delta,10
Delta,-3
Delta,17
Delta,-21
Delta,11
Delta,-2
Delta,-3
Delta,-5
Delta,-35
Delta,-18
Delta,-16
Delta,-1
Delta,-33
Delta,-34
Delta,-11
Delta,2
Delta,-4
Delta,-4
Delta,6
Delta,-13
Delta,-14
Delta,2
Delta,7
Delta,-11
Delta,-6
Delta,-24
Delta,2
Delta,-17
Delta,-13
Delta,-33
