AC,MathZRT,ColorsZRT
Yes,0.478049972,-0.776671134
Yes,0.088826033,-0.978966497
Yes,1.008671925,0.587608409
Yes,-0.333068334,-1.205715028
Yes,-0.038534923,-0.008191827
Yes,-0.154273872,1.136429575
Yes,1.061092406,1.359728869
Yes,-0.363642133,0.158427234
Yes,0.4016167,0.82869235
Yes,-0.512289659,-0.150343047
Yes,-0.014175407,-0.900440153
Yes,0.162167623,-0.684748625
Yes,-0.342727004,0.774580955
No,-0.07574633,0.109449098
Yes,-0.047927394,-0.519727773
No,0.30520901,1.094474268
Yes,-0.580831899,0.060683234
Yes,-0.250644778,-0.113266273
Yes,-0.413982539,-0.817257986
No,0.780594783,-0.151984615
Yes,-0.172055918,-0.85286301
No,0.457533222,-0.634407222
No,-0.548093402,0.820457352
No,-0.126131544,0.877249656
No,-0.374433995,0.530284637
No,-0.20092698,0.364075967
No,1.055465355,0.689474191
No,0.305406163,0.161455642
No,0.368948554,1.829160455
No,-0.048323302,0.887422286
No,-0.464657832,-0.589334884
No,-0.383816736,0.07449504
No,-0.36885647,1.646960658
No,0.137574895,3.150834244
No,0.777918043,0.139270664
No,-0.404356886,-0.28652236
No,-0.193263484,0.43944654
No,0.202713669,-1.14344869
No,-0.151112489,2.794486819
No,0.873638041,2.38337332
No,-0.344160887,0.642576317
No,0.2545139,-1.139528741
No,-0.275533747,0.250128568
No,0.305259944,1.256918654
Yes,-0.136707724,-0.313183674
Yes,-0.456915331,-0.732250282
