Team,PIM,OppPIM,Playoff
Anaheim Ducks,16.1,15.8,N
Atlanta Thrashers,12.8,13,N
Boston Bruins,11.6,11.6,Y
Buffalo Sabres,11.2,11.7,Y
Calgary Flames,13.9,13.2,N
Carolina Hurricanes,11.8,11.8,N
Chicago Blackhawks,11.3,11.7,Y
Colorado Avalanche,12.5,13.5,Y
Columbus Blue Jackets,13.2,12.6,N
Dallas Stars,11.7,12.7,N
Detroit Red Wings,8.8,9.9,Y
Edmonton Oilers,13.8,13.5,N
Florida Panthers,11.9,12.8,N
Los Angeles Kings,11.9,12.5,Y
Minnesota Wild,11.3,11.2,N
Montreal Canadiens,11.4,11.3,Y
Nashville Predators,8.7,9.9,Y
New Jersey Devils,10.5,11.4,Y
New York Islanders,11.6,12.2,N
New York Rangers,14.1,13.2,N
Ottawa Senators,13.9,13.2,Y
Philadelphia Flyers,16.6,15.3,Y
Phoenix Coyotes,11.3,10.8,Y
Pittsburgh Penguins,14.6,14.7,Y
San Jose Sharks,14.1,13.1,Y
St. Louis Blues,16.1,15.8,N
Tampa Bay Lightning,16.8,16,N
Toronto Maple Leafs,13.3,13.5,N
Vancouver Canucks,15.5,15.1,Y
Washington Capitals,11.6,11.2,Y
