State,Price,Size,Beds,Baths
CA,533,1589,3,2.5
CA,610,2008,3,2
CA,899,2380,5,3
CA,929,1868,3,3
CA,210,1360,2,2
CA,268,2131,3,2
CA,1095,2436,3,2
CA,699,1375,2,1
CA,729,2013,3,4
CA,700,1371,3,2
CA,145,1440,3,2
CA,469,2286,3,3
CA,610,2008,3,2
CA,841,2474,3,3.5
CA,300,1464,3,3
CA,285,1419,3,2
CA,640,1440,3,2
CA,929,2479,4,3
CA,714,2191,4,3
CA,559,1309,3,2
CA,235,2224,3,2
CA,180,834,2,1
CA,148,972,3,1
CA,195,1688,4,2
CA,619,1431,3,2.5
CA,549,1488,3,2
CA,408,1477,3,2
CA,835,2340,3,3
CA,368,1828,5,2
CA,360,1053,3,2
NJ,135,960,3,2
NJ,235,2010,3,3
NJ,200,1388,3,3
NJ,350,1510,3,1
NJ,165,1438,3,2
NJ,249,1700,3,2
NJ,220,1392,3,2
NJ,320,2216,4,3
NJ,115,986,3,2
NJ,275,2193,5,4
NJ,599,3562,4,3
NJ,279,1196,4,2
NJ,439,2394,4,3
NJ,580,3421,4,4
NJ,230,1422,3,1
NJ,625,1488,3,2
NJ,215,1420,3,2
NJ,209,2108,4,3
NJ,279,984,3,1
NJ,330,2024,5,2
NJ,265,1828,4,3
NJ,280,1937,3,3
NJ,500,2060,4,3
NJ,650,3462,4,3
NJ,129,1012,3,2
NJ,410,1560,3,2
NJ,639,1239,2,2
NJ,260,1836,3,3
NJ,369,1065,4,1
NJ,305,1800,3,3
NY,179,1742,3,2
NY,294,1600,4,2
NY,1250,2000,4,4
NY,825,1200,3,3
NY,35,936,2,1
NY,75,1784,2,1.5
NY,143,2040,3,1
NY,195,2079,6,4
NY,175,2668,5,3
NY,85,1904,3,3
NY,160,1500,3,2
NY,125,1052,3,1
NY,130,1476,4,2
NY,259,2976,5,2
NY,775,3750,4,4
NY,254,1500,3,2
NY,359,1924,4,2
NY,140,1710,4,3
NY,445,3551,3,3
NY,364,2116,4,3
NY,180,1515,4,2
NY,260,2090,4,3
NY,430,2720,4,3
NY,165,1462,4,2
NY,195,1627,4,2
NY,1000,2743,5,4
NY,929,2197,4,3
NY,875,1456,3,2
NY,289,1823,3,2
NY,370,1742,3,3
PA,230,2628,4,2
PA,475,4286,4,4
PA,225,1104,2,2
PA,220,1132,3,1
PA,180,1508,3,3
PA,399,3290,4,4
PA,550,4100,5,5
PA,290,2000,3,3
PA,110,1224,3,2
PA,190,2076,3,2
PA,342,1502,3,2
PA,99,1380,3,1
PA,410,1980,3,2
PA,315,2024,3,2
PA,240,1304,3,1
PA,515,4163,4,4
PA,350,1667,4,2
PA,135,900,2,2
PA,300,1565,3,2
PA,545,3370,5,4
PA,265,1576,3,3
PA,235,1818,3,2
PA,50,540,1,1
PA,145,1271,3,2
PA,345,1788,3,2
PA,190,1680,4,2
PA,190,1500,3,3
PA,90,1768,3,2
PA,228,1732,3,4
PA,109,1770,3,2
