State,Price,Size,Beds,Baths
CA,533,1589,3,2.5
CA,610,2008,3,2
CA,899,2380,5,3
CA,929,1868,3,3
CA,210,1360,2,2
CA,268,2131,3,2
CA,1095,2436,3,2
CA,699,1375,2,1
CA,729,2013,3,4
CA,700,1371,3,2
CA,145,1440,3,2
CA,469,2286,3,3
CA,610,2008,3,2
CA,841,2474,3,3.5
CA,300,1464,3,3
CA,285,1419,3,2
CA,640,1440,3,2
CA,929,2479,4,3
CA,714,2191,4,3
CA,559,1309,3,2
CA,235,2224,3,2
CA,180,834,2,1
CA,148,972,3,1
CA,195,1688,4,2
CA,619,1431,3,2.5
CA,549,1488,3,2
CA,408,1477,3,2
CA,835,2340,3,3
CA,368,1828,5,2
CA,360,1053,3,2
