State,Price,Size,Beds,Baths
NY,179,1742,3,2
NY,294,1600,4,2
NY,1250,2000,4,4
NY,825,1200,3,3
NY,35,936,2,1
NY,75,1784,2,1.5
NY,143,2040,3,1
NY,195,2079,6,4
NY,175,2668,5,3
NY,85,1904,3,3
NY,160,1500,3,2
NY,125,1052,3,1
NY,130,1476,4,2
NY,259,2976,5,2
NY,775,3750,4,4
NY,254,1500,3,2
NY,359,1924,4,2
NY,140,1710,4,3
NY,445,3551,3,3
NY,364,2116,4,3
NY,180,1515,4,2
NY,260,2090,4,3
NY,430,2720,4,3
NY,165,1462,4,2
NY,195,1627,4,2
NY,1000,2743,5,4
NY,929,2197,4,3
NY,875,1456,3,2
NY,289,1823,3,2
NY,370,1742,3,3
