Player,Pos,Age,Team,Games,Starts,Mins,MinPerGame,FGMade,FGAttempt,FGPct,FG3Made,FG3Attempt,FG3Pct,FTMade,FTAttempt,FTPct,OffRebound,DefRebound,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
Steven Adams,C,25,OKC,80,80,2669,33.4,481,809,0.595,0,2,0,146,292,0.5,391,369,760,124,117,76,135,204,1108
LaMarcus Aldridge,C,33,SAS,81,81,2687,33.2,684,1319,0.519,10,42,0.238,349,412,0.847,251,493,744,194,43,107,144,179,1727
Jarrett Allen,C,20,BRK,80,80,2096,26.2,335,568,0.59,6,45,0.133,197,278,0.709,191,481,672,110,43,120,103,184,873
Al-Farouq Aminu,PF,28,POR,81,81,2292,28.3,257,593,0.433,96,280,0.343,150,173,0.867,112,498,610,104,68,33,72,143,760
Kyle Anderson,SF,25,MEM,43,40,1281,29.8,150,276,0.543,9,34,0.265,37,64,0.578,48,203,251,128,54,37,58,112,346
Giannis Antetokounmpo,PF,24,MIL,72,72,2358,32.8,721,1247,0.578,52,203,0.256,500,686,0.729,159,739,898,424,92,110,268,232,1994
Carmelo Anthony,PF,34,HOU,10,2,294,29.4,49,121,0.405,21,64,0.328,15,22,0.682,9,45,54,5,4,7,8,32,134
Ryan Arcidiacono,PG,24,CHI,81,32,1961,24.2,187,418,0.447,81,217,0.373,89,102,0.873,27,192,219,269,65,4,63,171,544
Trevor Ariza,SF,33,TOT,69,69,2349,34,294,736,0.399,145,434,0.334,130,164,0.793,50,321,371,252,91,21,106,130,863
D.J. Augustin,PG,31,ORL,81,81,2269,28,318,677,0.47,131,311,0.421,181,209,0.866,41,162,203,426,52,4,128,115,948
Deandre Ayton,C,20,PHO,71,70,2183,30.7,509,870,0.585,0,4,0,141,189,0.746,223,506,729,125,61,67,126,209,1159
Marvin Bagley,PF,19,SAC,62,4,1567,25.3,356,706,0.504,30,96,0.313,181,262,0.691,162,309,471,62,33,59,98,120,923
Lonzo Ball,PG,21,LAL,47,45,1423,30.3,185,456,0.406,75,228,0.329,20,48,0.417,54,197,251,255,69,19,103,114,465
Harrison Barnes,PF-SF,26,TOT,77,77,2533,32.9,431,1027,0.42,174,441,0.395,229,278,0.824,57,304,361,115,50,13,98,122,1265
Will Barton,SG,28,DEN,43,38,1189,27.7,185,460,0.402,67,196,0.342,57,74,0.77,32,167,199,124,18,22,65,82,494
Nicolas Batum,SF,30,CHO,75,72,2354,31.4,253,562,0.45,116,298,0.389,77,89,0.865,71,319,390,247,71,43,117,140,699
Kent Bazemore,SG,29,ATL,67,35,1643,24.5,278,691,0.402,96,300,0.32,127,175,0.726,37,224,261,152,89,42,121,170,779
Bradley Beal,SG,25,WAS,82,82,3028,36.9,764,1609,0.475,209,596,0.351,362,448,0.808,89,322,411,448,121,58,224,226,2099
Patrick Beverley,PG,30,LAC,78,49,2137,27.4,194,477,0.407,112,282,0.397,96,123,0.78,76,312,388,300,67,43,85,265,596
Eric Bledsoe,PG,29,MIL,78,78,2272,29.1,470,971,0.484,124,377,0.329,177,236,0.75,82,280,362,430,116,29,165,156,1241
Bogdan Bogdanovic,SG,26,SAC,70,17,1947,27.8,361,863,0.418,134,372,0.36,134,162,0.827,40,203,243,267,72,15,117,142,990
