Team,Wins,Losses,WinPct,PtsFor,PtsAgainst
Milwaukee Bucks,60,22,0.732,118.1,109.3
Toronto Raptors,58,24,0.707,114.4,108.4
Golden State Warriors,57,25,0.695,117.7,111.2
Denver Nuggets,54,28,0.659,110.7,106.7
Portland Trail Blazers,53,29,0.646,114.7,110.5
Houston Rockets,53,29,0.646,113.9,109.1
Philadelphia 76ers,51,31,0.622,115.2,112.5
Utah Jazz,50,32,0.610,111.7,106.5
Boston Celtics,49,33,0.598,112.4,108.0
Oklahoma City Thunder,49,33,0.598,114.5,111.1
Indiana Pacers,48,34,0.585,108.0,104.7
San Antonio Spurs,48,34,0.585,111.7,110.0
Los Angeles Clippers,48,34,0.585,115.1,114.3
Brooklyn Nets,42,40,0.512,112.2,112.3
Orlando Magic,42,40,0.512,107.3,106.6
Detroit Pistons,41,41,0.500,107.0,107.3
Charlotte Hornets,39,43,0.476,110.7,111.8
Miami Heat,39,43,0.476,105.7,105.9
Sacramento Kings,39,43,0.476,114.2,115.3
Los Angeles Lakers,37,45,0.451,111.8,113.5
Minnesota Timberwolves,36,46,0.439,112.5,114.0
Memphis Grizzlies,33,49,0.402,103.5,106.1
New Orleans Pelicans,33,49,0.402,115.4,116.8
Dallas Mavericks,33,49,0.402,108.9,110.1
Washington Wizards,32,50,0.390,114.0,116.9
Atlanta Hawks,29,53,0.354,113.3,119.4
Chicago Bulls,22,60,0.268,104.9,113.4
Cleveland Cavaliers,19,63,0.232,104.5,114.1
Phoenix Suns,19,63,0.232,107.5,116.8
New York Knicks,17,65,0.207,104.6,113.8
