Player,Position,Team,TotalMoney,YearlySalary
Russell Wilson,QB,Seahawks,140.000,35.000
Ben Roethlisberger,QB,Steelers,68.000,34.000
Aaron Rodgers,QB,Packers,134.000,33.500
Jared Goff,QB,Rams,134.000,33.500
Carson Wentz,QB,Eagles,128.000,32.000
Matt Ryan,QB,Falcons,150.000,30.000
Kirk Cousins,QB,Vikings,84.000,28.000
Jacoby Brissett,QB,Colts,27.975,27.975
Jimmy Garoppolo,QB,49ers,137.500,27.500
Matt Stafford,QB,Lions,135.000,27.000
Derek Carr,QB,Raiders,125.025,25.005
Drew Brees,QB,Saints,50.000,25.000
Alex Smith,QB,Redskins,94.000,23.500
Khalil Mack,34OLB,Bears,141.000,23.500
Tom Brady,QB,Patriots,23.000,23.000
Aaron Donald,34DE,Rams,135.000,22.500
Joe Flacco,QB,Broncos,66.400,22.133
Nick Foles,QB,Jaguars,88.000,22.000
Julio Jones,WR,Falcons,66.000,22.000
Eli Manning,QB,Giants,84.000,21.000
Demarcus Lawrence,43DE,Cowboys,105.000,21.000
Philip Rivers,QB,Chargers,83.250,20.813
Frank Clark,43DE,Chiefs,104.000,20.800
Cam Newton,QB,Panthers,103.800,20.760
Michael Thomas,WR,Saints,96.250,19.250
Von Miller,34OLB,Broncos,114.500,19.083
Bobby Wagner,ILB,Seahawks,54.000,18.000
Tyreek Hill,WR,Chiefs,54.000,18.000
Trey Flowers,43DE,Lions,90.000,18.000
"Odell Beckham, Jr.",WR,Browns,90.000,18.000
Cameron Jordan,43DE,Saints,52.600,17.533
Fletcher Cox,43DT,Eagles,102.600,17.100
Dee Ford,43DE,49ers,85.000,17.000
Grady Jarrett,43DT,Falcons,68.000,17.000
Olivier Vernon,43DE,Browns,85.000,17.000
C.J. Mosley,ILB,Jets,85.000,17.000
J.J. Watt,34DE,Texans,100.000,16.667
Za'Darius Smith,34OLB,Packers,66.000,16.500
Mike Evans,WR,Buccaneers,82.500,16.500
Trent Brown,RT,Raiders,66.000,16.500
Chandler Jones,34OLB,Cardinals,82.500,16.500
Geno Atkins,43DT,Bengals,65.200,16.300
DeAndre Hopkins,WR,Texans,81.000,16.200
Brandin Cooks,WR,Rams,81.000,16.200
Adam Thielen,WR,Vikings,64.800,16.200
Kawann Short,43DT,Panthers,80.500,16.100
Melvin Ingram,43DE,Chargers,64.000,16.000
Taylor Lewan,LT,Titans,80.000,16.000
Andy Dalton,QB,Bengals,96.000,16.000
Sammy Watkins,WR,Chiefs,48.000,16.000
Nate Solder,LT,Giants,62.000,15.500
Jarvis Landry,WR,Browns,75.500,15.100
Jurrell Casey,34DE,Titans,60.400,15.100
Xavien Howard,CB,Dolphins,75.250,15.050
Jason Pierre-Paul,43DE,Buccaneers,62.000,15.000
Ezekiel Elliott,RB,Cowboys,90.000,15.000
Calais Campbell,43DE,Jaguars,60.000,15.000
Josh Norman,CB,Redskins,75.000,15.000
A.J. Green,WR,Bengals,60.000,15.000
Jadeveon Clowney,34OLB,Seahawks,15.000,15.000
Everson Griffen,43DE,Vikings,58.000,14.500
Trumaine Johnson,CB,Jets,72.500,14.500
Jake Matthews,LT,Falcons,72.500,14.500
Davante Adams,WR,Packers,58.000,14.500
Danielle Hunter,43DE,Vikings,72.000,14.400
Stefon Diggs,WR,Vikings,72.000,14.400
Todd Gurley,RB,Rams,57.500,14.375
Myles Jack,ILB,Jaguars,57.000,14.250
Deion Jones,ILB,Falcons,57.000,14.250
Kevin Byard,S,Titans,70.500,14.100
Marcell Dareus,43DT,Jaguars,28.085,14.043
Xavier Rhodes,CB,Vikings,70.100,14.020
Patrick Peterson,CB,Cardinals,70.050,14.010
Zack Martin,RG,Cowboys,84.000,14.000
Tyrann Mathieu,S,Chiefs,42.000,14.000
Kyle Fuller,CB,Bears,56.000,14.000
Allen Robinson,WR,Bears,42.000,14.000
Landon Collins,S,Redskins,84.000,14.000
Joe Staley,LT,49ers,28.000,14.000
Earl Thomas,S,Ravens,55.000,13.750
Donovan Smith,LT,Buccaneers,41.250,13.750
Desmond Trufant,CB,Falcons,68.750,13.750
Anthony Barr,43OLB,Vikings,67.500,13.500
A.J. Bouye,CB,Jaguars,67.500,13.500
Carlos Dunlap,43DE,Bengals,40.500,13.500
Kwon Alexander,43OLB,49ers,54.000,13.500
Brandon Graham,43DE,Eagles,40.000,13.333
Andrew Norwell,LG,Jaguars,66.500,13.300
Russell Okung,LT,Chargers,53.000,13.250
Trent Williams,LT,Redskins,66.000,13.200
Le'Veon Bell,RB,Jets,52.500,13.125
TY Hilton,WR,Colts,65.000,13.000
David Johnson,RB,Cardinals,39.000,13.000
Alshon Jeffery,WR,Eagles,52.000,13.000
Preston Smith,34OLB,Packers,52.000,13.000
Terron Armstead,LT,Saints,65.000,13.000
Stephon Gilmore,CB,Patriots,65.000,13.000
Ja'Wuan James,RT,Broncos,51.000,12.750
Jaylon Smith,ILB,Cowboys,63.750,12.750
Linval Joseph,43DT,Vikings,50.000,12.500
Janoris Jenkins,CB,Giants,62.500,12.500
Luke Kuechly,ILB,Panthers,61.795,12.359
Sheldon Richardson,43DT,Browns,37.000,12.333
Malcolm Butler,CB,Titans,61.250,12.250
Tyron Smith,LT,Cowboys,97.600,12.200
"Chris Harris, Jr.",CB,Broncos,12.050,12.050
Darius Slay,CB,Lions,48.000,12.000
David Bakhtiari,LT,Packers,48.000,12.000
Stephon Tuitt,34DE,Steelers,60.000,12.000
Eric Fisher,LT,Chiefs,48.000,12.000
Cordy Glenn,LT,Bengals,60.000,12.000
Akiem Hicks,34DE,Bears,48.000,12.000
Kevin Zeitler,RG,Giants,60.000,12.000
"Dante Fowler, Jr.",34OLB,Rams,12.000,12.000
Reshad Jones,S,Dolphins,48.000,12.000
Riley Reiff,LT,Vikings,58.750,11.750
Ryan Kerrigan,34OLB,Redskins,57.500,11.500
Duane Brown,LT,Seahawks,34.500,11.500
Justin Houston,43DE,Colts,23.000,11.500
Casey Hayward,CB,Chargers,34.250,11.417
Rodney Hudson,C,Raiders,33.750,11.250
Lane Johnson,RT,Eagles,56.250,11.250
Keenan Allen,WR,Chargers,45.000,11.250
Andrew Whitworth,LT,Rams,33.750,11.250
Damon Harrison,34DT,Lions,11.250,11.250
Trai Turner,RG,Panthers,45.000,11.250
Mitch Morse,C,Bills,44.500,11.125
Tyrell Williams,WR,Raiders,44.400,11.100
Michael Brockers,34DE,Rams,33.250,11.083
Nick Martin,C,Texans,33.000,11.000
Gabe Jackson,RG,Raiders,55.000,11.000
Larry Fitzgerald,WR,Cardinals,11.000,11.000
Joe Haden,CB,Steelers,22.000,11.000
Maurkice Pouncey,C,Steelers,22.000,11.000
Emmanuel Sanders,WR,49ers,33.000,11.000
Kareem Jackson,S,Broncos,33.000,11.000
Rodger Saffold,LG,Titans,44.000,11.000
Anthony Castonzo,LT,Colts,43.812,10.953
Ali Marpet,LG,Buccaneers,54.125,10.825
Tyler Boyd,WR,Bengals,43.000,10.750
Jerry Hughes,43DE,Bills,21.500,10.750
Tyler Lockett,WR,Seahawks,31.800,10.600
Eddie Goldman,34DT,Bears,42.040,10.510
Ryan Jensen,C,Buccaneers,42.000,10.500
Alec Ogletree,ILB,Giants,42.000,10.500
Brandon Williams,34DE,Ravens,52.500,10.500
Dre Kirkpatrick,CB,Bengals,52.500,10.500
Lamarcus Joyner,S,Raiders,42.000,10.500
Cameron Heyward,34DE,Steelers,52.281,10.456
Brandon Linder,C,Jaguars,51.703,10.341
Jimmy Smith,CB,Ravens,41.102,10.276
Cody Whitehair,C,Bears,51.250,10.250
Harrison Smith,S,Vikings,51.250,10.250
Sterling Shepard,WR,Giants,41.000,10.250
Lavonte David,ILB,Buccaneers,50.250,10.050
Star Lotulelei,43DT,Bills,50.000,10.000
Benardrick McKinney,ILB,Texans,50.000,10.000
Devin Funchess,WR,Colts,10.000,10.000
David DeCastro,RG,Steelers,50.000,10.000
Eric Kendricks,ILB,Vikings,50.000,10.000
Malik Jackson,43DT,Eagles,30.000,10.000
Joel Bitonio,LG,Browns,50.000,10.000
La'el Collins,RT,Cowboys,50.000,10.000
Jimmy Graham,TE,Packers,30.000,10.000
Marshal Yanda,RG,Ravens,10.000,10.000
Logan Ryan,CB,Titans,30.000,10.000
Bradley Roby,CB,Texans,10.000,10.000
Christian Kirksey,43OLB,Browns,38.000,9.500
