Team,Season,Preseason,RegularWins
ARZ,2005,3,5
ARZ,2006,2,5
ARZ,2007,0,8
ARZ,2008,2,9
ARZ,2009,0,10
ARZ,2010,3,5
ARZ,2011,2,8
ARZ,2012,1,5
ARZ,2013,3,10
ARZ,2014,1,11
ARZ,2015,2,13
ARZ,2016,1,7
ARZ,2017,2,8
ARZ,2018,3,3
ARZ,2019,1,5
ATL,2005,4,8
ATL,2006,2,7
ATL,2007,3,4
ATL,2008,2,11
ATL,2009,2,9
ATL,2010,2,13
ATL,2011,0,10
ATL,2012,1,13
ATL,2013,0,4
ATL,2014,2,6
ATL,2015,2,8
ATL,2016,3,11
ATL,2017,0,10
ATL,2018,0,7
ATL,2019,1,7
BLT,2005,2,6
BLT,2006,2,13
BLT,2007,1,5
BLT,2008,1,11
BLT,2009,4,9
BLT,2010,3,12
BLT,2011,3,12
BLT,2012,2,10
BLT,2013,2,8
BLT,2014,4,10
BLT,2015,1,5
BLT,2016,4,8
BLT,2017,4,9
BLT,2018,4,10
BLT,2019,4,14
BUF,2005,2,5
BUF,2006,1,7
BUF,2007,2,7
BUF,2008,2,7
BUF,2009,1,6
BUF,2010,2,4
BUF,2011,1,6
BUF,2012,0,6
BUF,2013,2,6
BUF,2014,1,9
BUF,2015,2,8
BUF,2016,1,7
BUF,2017,1,9
BUF,2018,2,6
BUF,2019,4,10
CAR,2005,2,11
CAR,2006,4,8
CAR,2007,1,7
CAR,2008,2,12
CAR,2009,0,8
CAR,2010,1,2
CAR,2011,1,6
CAR,2012,2,7
CAR,2013,3,12
CAR,2014,2,7
CAR,2015,3,15
CAR,2016,2,6
CAR,2017,2,11
CAR,2018,3,7
CAR,2019,2,5
CHI,2005,3,11
CHI,2006,2,13
CHI,2007,3,7
CHI,2008,1,9
CHI,2009,3,7
CHI,2010,0,11
CHI,2011,2,8
CHI,2012,3,10
CHI,2013,2,8
CHI,2014,2,5
CHI,2015,3,6
CHI,2016,1,3
CHI,2017,2,5
CHI,2018,2,12
CHI,2019,1,8
CIN,2005,2,11
CIN,2006,4,8
CIN,2007,1,7
CIN,2008,2,4
CIN,2009,2,10
CIN,2010,3,4
CIN,2011,1,9
CIN,2012,2,10
CIN,2013,3,11
CIN,2014,2,10
CIN,2015,3,12
CIN,2016,1,6
CIN,2017,1,7
CIN,2018,3,6
CIN,2019,1,2
CLV,2005,3,6
CLV,2006,2,4
CLV,2007,3,10
CLV,2008,0,4
CLV,2009,2,5
CLV,2010,2,5
CLV,2011,1,4
CLV,2012,2,5
CLV,2013,3,4
CLV,2014,1,7
CLV,2015,1,3
CLV,2016,0,1
CLV,2017,4,0
CLV,2018,3,7
CLV,2019,3,6
DAL,2005,3,9
DAL,2006,3,9
DAL,2007,2,13
DAL,2008,2,9
DAL,2009,2,11
DAL,2010,3,6
DAL,2011,2,8
DAL,2012,3,8
DAL,2013,2,8
