Athlete,Country,Time,Minutes
Eliud Kipchoge ROTICH,KEN,2:08:44,128.73
Feyisa LILESA,ETH,2:09:54,129.9
Galen RUPP,USA,2:10:05,130.08
Ghirmay GHEBRESLASSIE,ERI,2:11:04,131.07
Alphonce Felix SIMBU,TAN,2:11:15,131.25
Jared WARD,USA,2:11:30,131.5
Tadesse ABRAHAM,SUI,2:11:42,131.7
Munyo Solomon MUTAI,UGA,2:11:49,131.82
Callum HAWKINS,GBR,2:11:52,131.87
Eric GILLIS,CAN,2:12:29,132.48
Abdi NAGEEYE,NED,2:13:01,133.02
Mumin GALA,DJI,2:13:04,133.07
Lemi BERHANU,ETH,2:13:29,133.48
Stephen KIPROTICH,UGA,2:13:32,133.53
Paulo Roberto PAULA,BRA,2:13:56,133.93
Satoru SASAKI,JPN,2:13:57,133.95
Kaan Kigen OZBILEN,TUR,2:14:11,134.18
Bayron PIEDRA,ECU,2:14:12,134.2
Sondre Nordstad MOEN,NOR,2:14:17,134.28
Oleksandr SITKOVSKYY,UKR,2:14:24,134.4
Amanuel MESEL,ERI,2:14:37,134.62
Koen NAERT,BEL,2:14:53,134.88
Reid COOLSAET,CAN,2:14:58,134.97
Lusapho APRIL,RSA,2:15:24,135.4
Thanackal GOPI,IND,2:15:25,135.42
Kheta RAM,IND,2:15:26,135.43
Chol PAK,PRK,2:15:27,135.45
Evans Kiplagat BARKOWET,AZE,2:15:31,135.52
Guojian DONG,CHN,2:15:32,135.53
Ihor OLEFIRENKO,UKR,2:15:36,135.6
Liam ADAMS,AUS,2:16:12,136.2
Paul POLLOCK,IRL,2:16:24,136.4
Mebrahtom KEFLEZIGHI,USA,2:16:46,136.77
Anuradha Indrajith COORAY,SRI,2:17:06,137.1
Abdi Hakin ULAD,DEN,2:17:06,137.1
Suehiro ISHIKAWA,JPN,2:17:08,137.13
Marius IONESCU,ROU,2:17:27,137.45
Ruggero PERTILE,ITA,2:17:30,137.5
Artur KOZLOWSKI,POL,2:17:34,137.57
Nicolas CUESTAS,URU,2:17:44,137.73
Pardon NDHLOVU,ZIM,2:17:48,137.8
Victor ARAVENA,CHI,2:17:49,137.82
Saidi Juma MAKULA,TAN,2:17:49,137.82
