Year,Gender,Age,Hand,Height,Foot,Armspan,Languages,GetToSchool,TravelTime,ReactionTime,MemoryScore,Activity,Music,BirthMonth,Season,Allergies,Vegetarian,FavFood,Drink,FavSubject,Sleep1,Sleep2,Occupants,Communicate,TextsSent,HangHours,HWHours,SportsHours,VideoGameHours,ComputerHours,TVHours,WorkHours,SchoolPressure,Superpower,Preference
2013,Female,17,Right,165,25,161,1,Car,7,0.388,50,Other,Rap/Hip hop,July,Summer,Yes,No,Poultry,Water,Science,8,8,4,Text,500,12,0.25,6,0,2,2,8,Very little,Telepathy,Happy
2015,Female,17,Right,157,22,152,1,Car,5,0.399,44,Cycling,Rock and roll,August,Fall,No,No,Meat,Water,Social studies,6,9,4,Text,30,2,21,2,0,15,3,0,A lot,Freeze time,Rich
2012,Male,18,Right,177,30,180,1,Car,2,0.265,51,Football (American),Country,November,Summer,No,No,Meat,Water,Mathematics and statistics,8,10,5,Phone,50,35,0,5,0,5,10,25,Very little,Super strength,Happy
2018,Male,18,Right,185,27,182,2,Car,20,,64,Swimming,Pop,March,Summer,No,No,Meat,Water,Mathematics and statistics,5,5,5,App,50,8,1,18,0,1,1,12,Very little,Freeze time,Rich
2015,Male,16,Right,,,,1,Car,4,0.3,38,Football (American),Country,December,Fall,No,No,Salads,Water,Physical education,7,9,5,In person,500,15,2,20,2,4,2,4,A lot,Invisibility,Happy
2015,Female,17,Right,170,26,170,1,Car,7,0.628,49,Soccer,Rap/Hip hop,December,Winter,No,No,Pizza/Pasta,Juice,Art,7,11,5,Text,15,5,5,5,1,2,4,0,A lot,Invisibility,Happy
2013,Female,17,Right,165.1,,170.1,1,Car,10,0.39,36,Tennis,Pop,November,Spring,Yes,No,Breads/Sandwiches,Water,Mathematics and statistics,6,9,3,In person,100,2,10,10,0,4,4,0,A lot,Invisibility,Happy
2010,Female,17,Right,153,22,154,3,Car,6,0.528,31,Gymnastics,Jazz,September,Fall,No,No,Pizza/Pasta,Juice,Social studies,7.5,8.5,4,In person,0,7,3,6,0,30,2,0,Some,Fly,Healthy
2016,Male,17,Right,183,27,185,2,Bus,13,0.315,44,Running/Jogging,Techno/Electronic,August,Fall,No,No,Desserts,Water,Computers and technology,6,8,4,In person,0,1,14,6,4,21,0,0,Some,Invisibility,Healthy
2016,Female,17,Right,159,24,163.8,2,Bus,25,,,Other,Rap/Hip hop,October,Summer,Yes,No,Rice/Noodle dishes,Water,Mathematics and statistics,8,10,4,Text,5,5,10,5,30,30,30,0,A lot,Telepathy,Happy
2010,Male,17,Right,195,27,194,2,Bus,5,0.477,46,Basketball,Rap/Hip hop,August,Summer,No,No,Desserts,Coffee,Languages,7,9,4,In person,3,30,30,5,0,20,20,7,A lot,Fly,Happy
2017,Female,17,Right,162.5,25,172,2,Car,12,0.402,33,Soccer,Other,July,Fall,Yes,No,Other,Water,English,7,9,5,In person,14,13,10,3.5,0,45,15,0,Some,Freeze time,Happy
2018,Male,18,Right,173,22,167,1,Bus,60,0.904,46,Cycling,Pop,January,Summer,Yes,No,Seafood,Water,Science,7,10,5,Text,4,25,5,10,5,10,5,0,Some,Fly,Happy
2012,Male,18,Right,180,25,172,1,Car,4,0.265,38,Football (American),Rap/Hip hop,August,Summer,No,No,Meat,Water,Physical education,6,8,6,Text,75,12,0,10,15,20,20,22,Some,Freeze time,Happy
2014,Male,18,Right,186,27,172,1,Car,10,0.265,36,Golf,Rap/Hip hop,November,Winter,No,No,Meat,Juice,History,6,8,5,Text,100,24,2,4,0,50,50,20,Some,Super strength,Happy
2013,Male,16,Right,170,23,172,2,Car,8,0.299,37,Running/Jogging,Classical,August,Spring,No,No,Seafood,Milk,Mathematics and statistics,7,8,4,,,6,36,5,0,24,0,0,Some,Telepathy,Happy
2014,Female,17,Right,170,24.4,166,1,Car,5,0.3,46,Baseball/Softball,Pop,August,Summer,Yes,No,Pizza/Pasta,Water,Mathematics and statistics,8,10,3,Text,61,10,10,21,0,10,10,6,Some,Telepathy,Happy
2010,Male,17,Right,188,28,183,2,Car,9,,31,Other,Classical,April,Summer,No,No,Pizza/Pasta,Powdered drink,Mathematics and statistics,11,9,4,In person,0,24,0,10,10,20,1,0,None,Freeze time,Happy
2015,Female,17,Right,172,23,168,1,Car,12,0.476,35,Tennis,Other,July,Winter,No,No,Desserts,Milk,Mathematics and statistics,7.5,9,5,Text,100,6,3,4,0,8,15,2,Some,Fly,Happy
2017,Male,17,Right,168,24,170,1,Bus,7,0.485,59,Other,Techno/Electronic,April,Spring,No,No,Meat,Milk,Computers and technology,6,8,3,App,0,5,25,1,8,30,3,0,Some,Freeze time,Rich
2013,Female,18,Left,180,24,163,1,Car,3,0.498,44,Hockey (Field),Gospel,September,Fall,No,No,Soups,Water,Art,8,9,4,Text,100,15,0,0,0,2,20,20,Very little,Telepathy,Happy
2019,Female,17,Right,167,24,161,1,Car,7,0.705,74,Other,Rap/Hip hop,August,Fall,No,No,Seafood,Coffee,Social studies,5,0,4,Text,50,,10,0,0,20,6,30,A lot,Invisibility,Famous
