Name,State,ID,Main,Accred,MainDegree,HighDegree,Control,Region,Locale,Latitude,Longitude,AdmitRate,MidACT,AvgSAT,Online,Enrollment,White,Black,Hispanic,Asian,Other,PartTime,NetPrice,Cost,TuitionIn,TuitonOut,TuitionFTE,InstructFTE,FacSalary,FullTimeFac,Pell,CompRate,Debt,Female,FirstGen,MedIncome
Isothermal Community College,NC,198710,1,Southern Association of Colleges and Schools Commission on Colleges,1,2,Public,Southeast,Town,35.336728,-81.911857,,,,0,1201,75.5,11.5,3.8,0.9,8.2,47.9,7861,12593,2542,8686,614,7220,5918,25.4,37.3,29.65,,58.6,51.4,18.9
Cisco College,TX,223898,1,Southern Association of Colleges and Schools Commission on Colleges,2,2,Public,West,Town,32.401132,-98.985206,,,,0,3160,60.9,7.8,23.9,1.7,5.8,55.4,8457,14119,3810,4710,1449,3563,4105,49.4,27.4,23.79,15,56.2,44.4,26.7
Aveda Institute-Portland,OR,460862,1,National Accrediting Commission of Career Arts and Sciences,1,1,Profit,West,City,45.525507,-122.68474,,,,0,267,74.2,2.6,10.1,1.1,12,48.7,12004,15179,18050,18050,7640,4175,,,42.8,76.12,295,94.4,39.2,22
Baldwin Beauty School-North Austin,TX,414489,0,National Accrediting Commission of Career Arts and Sciences,1,1,Profit,West,City,30.365855,-97.729371,,,,0,94,58.5,9.6,24.5,3.2,4.3,0,14141,16770,13900,13900,5778,4945,,,45.1,67.39,92,95.1,51.1,22.9
Lamar State College-Orange,TX,226107,1,Southern Association of Colleges and Schools Commission on Colleges,1,2,Public,West,Suburb,30.0922,-93.732235,,,,0,1690,70,19.6,7.9,1.7,0.8,47.9,3665,8375,4288,14248,3499,5306,5333,48.1,34.8,21.86,323,72.4,52.2,22
Raphael's School of Beauty Culture Inc-Boardman,OH,407568,1,National Accrediting Commission of Career Arts and Sciences,1,1,Profit,Midwest,City,41.02371,-80.679801,,,,0,116,63.8,27.6,4.3,0,4.3,17.2,13796,14829,17740,17740,7787,3704,,,72.9,63.64,80,91,48.5,13.5
Southeastern Institute-Charleston,SC,443261,1,Accrediting Commission of Career Schools and Colleges,1,1,Profit,Southeast,City,32.900527,-80.027313,,,,0,117,27.4,57.3,3.4,0,12,35,24398,28124,18288,18288,15474,6379,,,58.1,91.94,212,88.6,51.2,16.4
Montana Technological University,MT,180416,1,Northwest Commission on Colleges and Universities,3,4,Public,West,Town,46.012868,-112.559511,0.9238,25,1201,0,1640,75.8,1,1.6,0.4,21.3,6.8,12993,18433,7125,21956,7666,8434,7459,74.5,29.8,41.37,502,39.4,33.7,38.4
Arizona State University-Polytechnic,AZ,420574,0,Higher Learning Commission,3,4,Public,West,City,33.307142,-111.677225,0.7628,25,1193,0,4224,52.8,5.2,20.7,6.1,15.2,12.8,11059,23006,10301,26038,8960,5807,8507,69,35.9,59.06,20084,55.7,38.1,35.9
Walla Walla University,WA,236896,1,Northwest Commission on Colleges and Universities,3,4,Private,West,Suburb,46.048088,-118.389555,,,,0,1610,64.5,3.1,15.8,9.2,7.4,3.4,23106,37913,27495,27495,17597,10602,5317,100,29.1,61.2,416,51.9,16.6,65.2
Covenant College,GA,139393,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Private,Southeast,Rural,34.965161,-85.375066,0.9523,27,1269,0,986,86.1,2.6,2.7,0.9,7.6,0.4,22202,44576,33170,33170,14622,10241,7547,100,23.9,69.47,231,48.6,,79
University of Rochester,NY,195030,1,Middle States Commission on Higher Education,3,4,Private,Northeast,City,43.126397,-77.631202,0.3421,31,1410,0,6320,44.7,4.9,7.2,10.9,32.3,1.5,30480,67722,52020,52020,22633,31359,12675,93.3,17.8,85.25,1806,54.9,18.7,62.9
DeVry University-Tennessee,TN,482617,0,Higher Learning Commission,3,4,Profit,Southeast,City,36.08537,-86.694511,1,,,0,67,59.7,22.4,9,3,6,50.8,,,17828,17828,32819,3905,,,66.9,11.11,10426,60.6,50.2,22.6
