Name,State,ID,Main,Accred,MainDegree,HighDegree,Control,Region,Locale,Enrollment,White,Black,Hispanic,Asian,Other,PartTime,NetPrice,Cost,TuitionIn,TuitonOut,TuitionFTE,InstructFTE,FacSalary,FullTimeFac,Pell,CompRate,Debt,Female,FirstGen,MedIncome
CUNY Hostos Community College,NY,190585,1,Middle States Commission on Higher Education,2,2,Public,Northeast,City,6540,1.9,26.6,62.9,2.8,5.8,37.4,6345,13618,5208,8088,1906,11232,9630,43,64.9,19.91,327,67.5,54.3,15.4
Reedley College,CA,117052,1,Western Association of Schools and Colleges Accrediting Commission for Community,2,2,Public,West,Town,8624,18.1,2.3,71.2,5.3,3.2,64.8,2465,9526,1304,6944,515,4843,8831,41.5,33.5,24.34,47,58.8,54,21
South Central College,MN,173911,1,Higher Learning Commission,2,2,Public,Midwest,City,2393,71.1,12.6,10.5,1.5,4.3,43.3,10484,14521,5417,5417,3637,7760,7810,54.6,45.2,24.67,530,51.6,36.7,31.9
Belmont College,OH,201283,1,Higher Learning Commission,2,2,Public,Midwest,Rural,780,90.5,1.9,1,0.3,6.3,43.6,5923,9262,3541,6020,3752,4070,4802,25,52.8,32.2,200,64.3,50.9,26.8
Pasco-Hernando State College,FL,136400,1,Southern Association of Colleges and Schools Commission on Colleges,2,3,Public,Southeast,Suburb,9336,62.8,6.6,21.7,2.4,6.5,61.2,6271,10764,3155,12032,1587,3449,5994,33.9,38.8,32.06,990,61.1,43.1,23.1
Contra Costa College,CA,112826,1,Western Association of Schools and Colleges Accrediting Commission for Community,2,2,Public,West,Suburb,5372,11.5,17.9,41.8,19,9.8,68.5,6455,12881,1312,8424,792,7430,9047,29.2,26.3,24.63,12,61.6,55.8,14.3
Kirkwood Community College,IA,153737,1,Higher Learning Commission,2,2,Public,Midwest,City,8958,69.8,12.4,6.1,1.9,9.9,40.9,10982,14829,4586,5706,2817,6479,6759,99.6,27.4,29.29,1829,53.3,38.7,31.6
Middlesex County College,NJ,185536,1,Middle States Commission on Higher Education,2,2,Public,Northeast,Suburb,10478,28.7,11.8,34.3,14.7,10.6,49.2,8410,13600,3468,6936,5047,5478,8537,100,34.8,17.66,451,54.8,50.3,23.6
Harford Community College,MD,162706,1,Middle States Commission on Higher Education,2,2,Public,Northeast,Rural,5018,68.7,17.2,5.4,2.7,5.9,58.2,7721,11271,3643,7902,3956,4848,6291,31.8,22.3,28.91,291,60.5,41.3,30
Southwestern College,CA,123800,1,Western Association of Schools and Colleges Accrediting Commission for Community,2,2,Public,West,Suburb,16411,11.2,4.7,68.2,10.2,5.7,58.3,4219,11345,1338,6602,385,4653,9095,100,31.9,22.15,65,56.4,56.5,19.4
Pacific College of Oriental Medicine-San Diego,CA,378576,1,Accrediting Commission of Career Schools and Colleges,2,4,Profit,West,City,142,33.1,10.6,23.9,6.3,26.1,45.8,22299,24921,9233,9233,9596,2491,5366,33.7,44.6,33.33,279,73.8,40.9,16.8
Arkansas Baptist College,AR,106306,1,Higher Learning Commission,2,3,Private,Southeast,City,593,5.2,93.3,0.7,0,0.8,16.4,17890,22512,8760,8760,8028,3966,4340,59.1,81,19.33,121,25,45,14.6
Bryant & Stratton College-Syracuse North,NY,189565,0,Middle States Commission on Higher Education,2,3,Profit,Northeast,Suburb,257,83.7,9.7,2,0.4,4.3,24.1,10605,20459,16701,16701,17220,3861,4785,20.8,73.2,18.84,5240,81.7,53.8,15.2
Berkshire Community College,MA,164775,1,New England Commission on Higher Education,2,2,Public,Northeast,Rural,1585,75.5,7.9,8.8,2,5.7,60.8,9369,15236,5212,10828,4347,11005,7333,41.1,43.1,18.46,277,58.7,44.9,24.3
Eastern Wyoming College,WY,240596,1,Higher Learning Commission,2,2,Public,West,Town,620,82.7,1,10.8,0.5,5,29.5,5577,12200,2928,7440,2214,7242,5491,100,13,45.86,80,63,43.8,27
Phoenix College,AZ,105428,1,Higher Learning Commission,2,2,Public,West,City,9147,21.2,9.5,54.6,2.9,11.8,69.5,7184,11788,2094,7878,1692,5090,7432,100,38.6,17.92,400,63,61.6,20.7
City College-Miami,FL,434539,0,Accrediting Bureau of Health Education Schools,2,3,Private,Southeast,City,186,3.8,28,65.6,0,2.7,32.3,17560,23478,13695,13695,16639,9048,4925,10,74.4,35.71,631,73.4,49.3,15
College of the Sequoias,CA,123217,1,Western Association of Schools and Colleges Accrediting Commission for Community,2,2,Public,West,City,10727,21.9,2.4,68.1,3.4,4.3,52.6,1659,8369,1390,7186,488,5621,8838,44.1,40.7,29.16,96,56.2,57.4,19.1
Bryant & Stratton College-Amherst,NY,189556,0,Middle States Commission on Higher Education,2,3,Profit,Northeast,Suburb,258,72.5,18.6,2.3,0.4,6.2,34.1,13250,21187,16601,16601,17024,3638,4832,15.4,68,44.44,5240,81.7,53.8,15.2
Century College,MN,175315,1,Higher Learning Commission,2,2,Public,Midwest,Suburb,7502,54.8,10.3,8.3,18.2,8.4,55,10765,14643,5417,5417,3150,5857,7921,46.3,38.8,18.38,1140,56,34.4,29.6
Bethany Global University,MN,486284,1,Association for Bibical Higher Educaiton,2,4,Private,Midwest,City,275,81.5,1.8,0.7,0.7,15.3,1.8,16572,22570,13850,13850,2327,3863,4512,15.8,36.7,66.67,54,68.8,21.8,43.7
St. Joseph's College of Nursing,NY,195191,1,Middle States Commission on Higher Education,2,2,Private,Northeast,City,298,63.1,4.7,1.3,5.7,25.2,16.8,34583,34583,19700,19700,14190,9519,7481,65.6,30.5,75,205,86.8,28.1,48.7
Santa Barbara Business College-Bakersfield,CA,122834,1,Accrediting Council for Independent Colleges and Schools,2,3,Profit,West,City,332,16.3,6.9,70.5,4.2,2.1,0,15217,21566,10000,10000,15876,3514,4986,27.1,88.5,53.64,379,70.4,58,17
CUNY Borough of Manhattan Community College,NY,190521,1,Middle States Commission on Higher Education,2,2,Public,Northeast,City,25457,8.8,27.4,44.9,10.8,8.1,27.7,5965,13204,5170,8050,1882,7809,9738,38.2,62.5,20.07,903,57.5,53.1,16.9
Triangle Tech Inc-Pittsburgh,PA,216436,1,Accrediting Commission of Career Schools and Colleges,2,2,Profit,Northeast,City,144,49.3,44.4,0,0,6.3,0,18842,25779,16640,16640,11861,5838,3945,100,68.7,55.81,138,9.5,42.1,14.9
Culinary Institute Inc,TX,444565,1,Accrediting Commission of Career Schools and Colleges,2,2,Profit,West,City,360,28.1,28.1,35.6,2.8,5.5,72.5,26104,27915,15938,15938,15008,5988,4053,66.7,54.5,75,221,52.3,46.6,20.2
Hillsborough Community College,FL,134495,1,Southern Association of Colleges and Schools Commission on Colleges,2,2,Public,Southeast,City,23235,34.7,18.3,31.8,2.8,12.4,54.6,5421,9568,2506,9111,2278,3512,6564,25.1,38.9,29.77,2316,60.5,46.3,22.1
Chemeketa Community College,OR,208390,1,Northwest Commission on Colleges and Universities,2,2,Public,West,Suburb,8474,48.2,1,27.5,1.8,21.5,48.2,6258,9841,4500,11790,2632,6415,6675,38.3,36.5,14.8,826,56.8,48.8,25.2
Lincoln Land Community College,IL,146685,1,Higher Learning Commission,2,2,Public,Midwest,City,4530,73.8,10.9,3.6,1.4,10.4,51.6,6392,11033,3168,8976,4124,7472,9415,40.5,34,31.2,521,58.4,46.6,23.1
Bryant & Stratton College-Wauwatosa,WI,451750,0,Middle States Commission on Higher Education,2,3,Profit,Midwest,Suburb,781,50.5,32.8,7.2,3.5,6.1,47.4,13643,22071,17707,17707,19793,5739,6017,33,59.8,22.73,5240,81.7,53.8,15.2
