Name,State,ID,Main,Accred,MainDegree,HighDegree,Control,Region,Locale,Latitude,Longitude,AdmitRate,MidACT,AvgSAT,Online,Enrollment,White,Black,Hispanic,Asian,Other,PartTime,NetPrice,Cost,TuitionIn,TuitonOut,TuitionFTE,InstructFTE,FacSalary,FullTimeFac,Pell,CompRate,Debt,Female,FirstGen,MedIncome
McNeese State University,LA,159717,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Public,Southeast,City,30.178187,-93.217222,0.6224,23,1124,0,5956,66.9,17.5,3.2,1.6,10.9,9.1,10977,17675,7920,15958,6261,4373,6580,100,31.9,42.41,1359,63.7,38.5,35.3
William Carey University,MS,176479,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Private,Southeast,City,31.305264,-89.291815,0.4882,25,1179,0,2086,60.5,30.3,1.9,1,6.3,21.1,17954,26640,12300,12300,12430,6947,6570,45.7,50.6,56.94,958,66.3,35.9,24.7
College of Biblical Studies-Houston,TX,388520,1,Association for Bibical Higher Educaiton,3,3,Private,West,City,29.716676,-95.506559,,,,0,420,14.5,47.6,31.4,1.4,5,84.3,13029,19135,6946,6946,8087,4563,5047,50,50.5,25,41,55,50.9,25
Augusta University,GA,482149,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Public,Southeast,City,33.47037,-81.989071,0.7459,23,1006,0,4978,52.2,24.9,7,6.9,9,15.9,16771,19970,8604,23606,11421,21986,8271,68.2,40.9,27.34,1460,67.3,28.3,37.8
University of Washington-Tacoma Campus,WA,377564,0,Northwest Commission on Colleges and Universities,3,4,Public,West,City,47.244594,-122.438541,0.8385,21,1083,0,4412,40.7,8.5,14.9,19.1,16.8,10.7,7953,19708,11046,35610,3761,5771,9772,75.6,44.2,58.45,7629,57.5,32.7,39.2
University of Valley Forge,PA,216542,1,Middle States Commission on Higher Education,3,4,Private,Northeast,Suburb,40.117835,-75.5469,0.5321,,,0,669,56.1,16.3,16.4,1.5,9.7,12.4,21369,32828,21370,21370,12587,4907,5936,32.9,38.6,44.91,209,55.4,33.3,36.6
Benedict College,SC,217721,1,Southern Association of Colleges and Schools Commission on Colleges,3,3,Private,Southeast,City,34.012941,-81.020403,,,,0,2090,2.1,95.7,1.7,0.3,0.2,0.6,19134,32443,19958,19958,10594,3833,5907,71.6,81.5,26.5,347,45.6,40.8,18
Howard Payne University,TX,225548,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Private,West,Town,31.716467,-98.985204,0.5917,21,1036,0,919,55.1,11.2,22.1,1,10.7,9.6,22137,37627,27690,27690,12799,8702,5786,100,43.7,41.43,315,39.1,37.4,48.2
Bryan College of Health Sciences,NE,180878,1,Higher Learning Commission,3,4,Private,Midwest,City,40.796768,-96.651532,0.5234,23,1125,0,552,90.6,0.5,2,3.4,3.5,40.8,24512,26646,15190,15190,16669,9233,7136,49.4,32.7,78.57,217,92.1,,64.6
Butler University,IN,150163,1,Higher Learning Commission,3,4,Private,Midwest,City,39.8374,-86.172167,0.6513,28,1279,0,4197,82.6,3.9,3.7,3.3,6.4,1.1,36249,54349,39860,39860,21949,13705,8012,100,13.8,78.7,1193,60.1,13,109.2
North Carolina A & T State University,NC,199102,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Public,Southeast,City,36.07282,-79.773375,0.6223,20,1010,0,10011,5.3,82,4,0.8,8,7.5,11743,19243,6526,19416,6271,8508,8929,68.6,59.7,42.74,2896,57,28.1,32
College of William and Mary,VA,231624,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Public,Southeast,Suburb,37.269489,-76.708214,0.3592,31,1406,0,6243,59.4,7.3,9.4,7.7,16.2,0.8,19720,35991,22044,43670,20919,15105,11189,79.9,11.1,92.1,1168,60.7,13.2,96.5
New Hampshire Institute of Art,NH,430810,1,New England Commission on Higher Education,3,4,Private,Northeast,City,42.992953,-71.458947,0.9943,,,0,307,56.4,1.3,6.5,1,34.9,7.5,28458,39065,26880,26880,18270,13360,5616,100,42.6,48.36,117,69.1,27.3,55.3
Louisiana State University and Agricultural & Mechanical College,LA,159391,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Public,Southeast,City,30.414986,-91.178921,0.7392,26,1226,0,23331,72.1,11.9,6.4,4.3,5.4,5.9,18181,27612,11374,28051,11816,11087,9922,91.3,20.3,66.65,4633,57.3,26.6,55.2
Lock Haven University,PA,213613,1,Middle States Commission on Higher Education,3,4,Public,Northeast,Town,41.141517,-77.460108,0.8904,19,1004,0,3425,81,10.3,1.5,1.3,6,7.6,19034,23107,10576,20056,7972,10933,10110,88.4,37.7,54.72,1493,57.7,37.7,58.4
California State University-Stanislaus,CA,110495,1,Western Association of Schools and Colleges Senior Colleges and University Commi,3,4,Public,West,Suburb,37.52577,-120.852511,0.7706,,,0,9054,22.1,2.3,52.2,9.8,13.6,15.8,6295,15732,7038,18918,5058,8629,9328,50.6,60.1,52.77,2203,67.7,59.9,28.2
Azusa Pacific University,CA,109785,1,Western Association of Schools and Colleges Senior Colleges and University Commi,3,4,Private,West,Suburb,34.130047,-117.888375,0.6012,24,1131,0,5560,39.5,5.3,32.3,9.3,13.6,10.6,27267,49911,37506,37506,18252,9028,8201,32.6,33.7,66.81,3082,72.6,38,44.7
Mary Baldwin University,VA,232672,1,Southern Association of Colleges and Schools Commission on Colleges,3,4,Private,Southeast,City,38.153884,-79.069273,0.947,23,1093,0,1058,58.2,21.3,7,2.5,11.1,35.4,17850,42491,31110,31110,13412,9388,6765,26.7,54.3,45.2,389,93.1,40,32.1
California State University-Los Angeles,CA,110592,1,Western Association of Schools and Colleges Senior Colleges and University Commi,3,4,Public,West,City,34.066927,-118.168965,0.4645,18,968,0,24780,6,3.6,65.5,13.6,11.4,15.4,3792,13612,6639,18519,3898,6759,9575,41,67,47.13,4865,60.6,61.5,22
Lewis University,IL,146612,1,Higher Learning Commission,3,4,Private,Midwest,Suburb,41.605432,-88.079032,0.5383,24,1161,0,4372,58.8,5.1,19.7,4.4,12,15.7,19793,39361,31250,31250,16149,9724,9200,38.7,31.3,67.03,992,54.9,39.4,54.6
Notre Dame College,OH,204468,1,Higher Learning Commission,3,4,Private,Midwest,Suburb,41.506894,-81.516617,0.8948,19,994,0,1500,53.6,28.9,5.1,0.8,11.6,19.4,21106,41206,29300,29300,12690,5420,5344,86.4,34,36.55,277,51.5,32.9,43.5
William Peace University,NC,199272,1,Southern Association of Colleges and Schools Commission on Colleges,3,3,Private,Southeast,City,35.789139,-78.637697,0.5908,20,1033,0,927,47.5,27.7,8.7,1.7,14.4,12.2,21115,40913,28700,28700,13505,3898,5574,29.2,56.7,39.23,364,60.4,29.4,35.8
University of Northwestern-St Paul,MN,174491,1,Higher Learning Commission,3,4,Private,Midwest,Suburb,45.033703,-93.167822,0.934,24,1174,0,1827,82.8,3.6,4.2,3.3,6.1,13.4,23249,41627,30794,30794,14776,7636,6332,100,20.5,62.03,753,57.8,16.4,69.4
