Country,LandArea,Population,Density,GDP,Rural,CO2,PumpPrice,Military,Health,ArmedForces,Internet,Cell,HIV,Hunger,Diabetes,BirthRate,DeathRate,ElderlyPop,LifeExpectancy,FemaleLabor,Unemployment,EnergyUse,Electricity,Developed
Greece,128.900,10.7,83.2,20324,20.9,6.18,1.54,4.92,10.32,146.0,69.9,115.9,0.2,2.5,4.6,8.2,11.6,20.6,81.4,60.5,19.2,2124,5063,3
Luxembourg,2.430,0.6,250.1,114340,9,17.36,1.19,1.40,11.88,2.0,97.8,136.1,0.3,2.5,4.4,10.4,7.1,14.5,82.7,65.8,5.5,6861,13915,3
Tonga,0.720,0.1,143.3,4364,76.9,1.2,,,8.04,,41.2,99.9,,,15.4,23.6,6.0,5.8,73.2,47.4,1,,,
Paraguay,397.300,7.0,17.5,5871,38.4,0.86,1.04,4.82,16.18,27.0,61.1,109.6,0.5,11.2,8.3,20.7,5.8,6.6,73.2,60.5,4.7,783,1552,1
Zambia,743.390,17.4,23.3,1540,56.5,0.29,1.4,5.66,7.13,16.0,27.9,78.6,11.5,44.5,3.9,37.8,7.6,2.5,62.3,71.7,7.2,,717,1
Cuba,104.020,11.3,109,,23,3.08,,,17.26,76.0,49.1,40.2,0.4,2.5,8.3,10.8,8.1,15.2,79.9,48.9,2.3,1035,1451,1
Malawi,94.280,18.1,192.4,389,83.1,0.08,1.15,3.11,9.83,15.0,13.8,41.7,9.6,26.3,3.9,36.4,7.1,2.9,63.7,74.4,5.4,,,
Kuwait,17.820,4.1,232.2,34244,0,25.85,0.35,11.01,6.21,25.0,98.0,172.6,0.1,2.5,15.8,16.0,2.8,2.5,74.8,58.8,2.1,9179,15591,3
"Bahamas, The",10.010,0.4,38.5,,17,6.52,0.92,,15.98,1.0,85.0,89.4,1.9,,13.2,14.1,6.4,9.4,75.8,75.6,11.9,,,
Guinea-Bissau,28.120,1.9,66.7,778,56.6,0.16,,,12.88,4.0,3.9,77.1,3.4,26.0,2.4,36.0,10.3,3.1,57.8,68.6,4.1,,,
Madagascar,581.800,26.3,45.1,461,62.8,0.13,1.11,3.54,17.83,22.0,9.8,34.1,0.3,43.1,3.9,32.9,6.2,3.0,66.3,85,1.7,,,
Georgia,69.490,3.7,65.3,4345,41.4,2.42,0.76,6.61,10.29,26.0,60.5,140.7,0.4,7.4,7.1,13.2,13.2,15.0,73.4,63.4,14.1,1180,2694,2
Tajikistan,138.790,9.1,65.6,827,72.9,0.63,0.71,,5.04,17.0,22.0,111,0.3,,7.1,28.3,5.1,3.6,71.2,29.3,10.9,340,1499,1
